timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501881690616537,-28,9,-18,40,-2,5,28,-8
1501881690616537,-10,-4,15,-23,4,-4,-4,-31
1501881690625538,-8,-3,7,51,-4,-4,-7,-11
1501881690625538,35,1,2,77,9,2,-4,12
1501881690632539,14,3,1,22,-13,-2,-10,5
1501881690632539,-36,1,5,26,-4,-7,5,-10
1501881690634540,9,5,19,-60,6,9,1,-26
1501881690634540,-10,-14,-43,-21,-17,-6,-13,17
1501881690655541,-6,-3,-2,-39,14,-2,14,16
1501881690655541,3,6,1,4,0,2,5,-9
1501881690656540,12,-2,50,111,16,-4,-7,22
1501881690656540,-31,-6,-44,-98,-13,1,-8,-15
1501881690668543,7,-1,1,-1,-19,-3,-4,-14
1501881690668543,22,3,19,56,-3,-9,-22,-6
1501881690693547,-17,3,-26,-57,10,11,30,59
1501881690693547,45,-6,-17,-32,-15,-8,-1,20
1501881690693547,28,-6,32,107,26,-2,-6,-3
1501881690693547,26,12,-13,-98,-13,4,5,17
1501881690695555,-26,-8,-8,41,-8,-7,-8,31
1501881690695555,9,2,6,-58,0,1,-13,-22
1501881690715558,-19,-2,19,37,5,-3,-3,22
1501881690715558,5,7,-7,15,11,11,14,13
1501881690717545,-9,-3,9,-6,-8,-6,-10,-5
1501881690717545,-24,2,1,-21,-2,0,-6,-34
1501881690737546,-4,-11,-31,16,22,7,14,37
1501881690737546,-28,1,24,-67,-22,-4,-6,-5
1501881690739545,4,-4,-20,-49,-13,-3,1,-26
1501881690739545,-7,4,32,89,6,-2,-9,-5
1501881690752547,-57,1,-3,72,2,1,-17,-94
1501881690752547,6,-11,-19,-59,-3,-5,4,-4
1501881690754546,-1,-4,-8,9,-10,-3,-6,-8
1501881690754546,-13,-1,1,-43,18,5,7,1
1501881690782547,60,3,25,18,-13,-5,-7,68
1501881690782547,-59,4,-8,-40,-3,-1,8,-35
1501881690784547,-22,-11,-11,-55,-13,-5,-10,-65
1501881690784547,15,0,17,49,-3,-6,-4,-2
1501881690797548,-22,-7,-47,-82,0,3,5,11
1501881690797548,22,-4,2,83,12,-4,-4,14
1501881690799550,29,1,1,-40,3,2,-4,-21
1501881690799550,-31,-3,-9,-43,-21,-7,1,6
1501881690813552,6,-4,-6,-62,-7,0,3,-2
1501881690813552,28,2,32,-8,7,-1,-3,21
1501881690814556,22,-6,-27,44,6,5,2,47
1501881690814556,-1,-1,-9,5,-2,-1,4,-20
1501881690834553,-8,5,6,-49,-11,-4,-6,-28
1501881690834553,18,-6,-2,62,13,0,1,20
1501881690836550,-45,-12,-29,65,2,-5,-4,12
1501881690836550,1,-11,-48,-54,-21,-5,-13,-35
1501881690857553,41,10,13,-21,-11,-6,2,5
1501881690857553,-29,9,22,11,0,5,3,-11
1501881690859551,27,-4,-18,-33,1,-8,-8,4
1501881690859551,-23,-4,16,23,-4,1,0,15
1501881690879553,-10,-11,-30,-2,19,-2,-2,-11
1501881690879553,22,-4,-36,-38,-14,-3,0,3
1501881690881552,-30,9,59,-40,-4,2,1,-17
1501881690881552,17,-3,-10,-3,11,1,3,56
1501881690895554,-5,2,19,10,-2,3,-1,-9
