timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501874877597946,-6,-24,-34,41,2,-2,14,-10
1501874877597946,27,1,-16,-21,-2,2,5,99
1501874877598918,11,49,80,100,23,3,10,-86
1501874877598918,17,29,-31,-83,-9,-10,-22,65
1501874877599941,-33,-55,-19,-23,12,5,-1,-62
1501874877599941,-7,-8,18,29,-11,-1,-2,-47
1501874877599941,21,10,-1,60,14,9,4,117
1501874877599941,3,17,10,3,-4,-8,-4,-22
1501874877604948,13,-21,-3,-35,-28,-7,-4,41
1501874877604948,-44,2,2,89,51,5,4,-67
1501874877612907,46,20,-15,-80,-20,3,1,74
1501874877612907,-75,-101,-5,-50,14,-3,-6,-79
1501874877625961,13,37,-14,-43,-1,5,6,78
1501874877625961,12,-5,55,-24,6,8,1,-56
1501874877637912,-29,-31,4,45,-47,-17,-25,-58
1501874877637912,40,46,-43,-90,-20,-3,22,56
1501874877640951,10,-34,-6,34,-4,-4,-2,21
1501874877640951,-10,-5,25,18,14,2,3,-22
1501874877664955,-14,-7,-59,-57,-23,-10,-12,1
1501874877664955,0,10,0,23,-14,7,1,-1
1501874877703930,-6,-95,-23,34,24,5,-1,2
1501874877703930,12,25,-28,1,-25,6,-1,-14
1501874877704921,5,-47,-23,-94,-16,1,16,88
1501874877704921,7,18,47,29,33,0,-1,-13
1501874877705930,-19,13,18,88,-17,1,-4,0
1501874877705930,22,7,-12,-37,-34,-9,-7,-4
1501874877708975,-4,-35,-52,26,-1,-1,-6,-16
1501874877708975,0,9,-6,-51,-2,2,7,2
1501874877715979,26,60,36,-2,-6,-4,5,33
1501874877715979,3,-15,-21,57,22,1,-2,17
1501874877722982,11,-34,47,49,-20,-2,-2,-35
1501874877722982,-13,-11,-31,-53,3,0,-5,-56
1501874877731916,-17,-29,-25,16,4,-3,-7,-4
1501874877731916,-2,33,54,-91,-6,-10,2,-2
1501874877746936,4,25,73,108,-4,-3,-3,30
1501874877746936,3,-23,-42,-78,-17,-4,-6,-13
1501874877760977,-6,91,28,-52,-12,0,11,51
1501874877760977,-3,-90,-32,-1,3,3,7,-8
1501874877767961,-15,15,24,-16,11,-1,-1,-10
1501874877767961,27,73,35,119,29,7,4,52
1501874877776929,10,-84,-48,17,-23,-5,-6,44
1501874877776929,-35,14,16,-53,-4,-6,-5,-17
1501874877791965,5,36,-11,3,-25,-2,8,42
1501874877791965,-26,-37,14,42,21,9,-7,-61
1501874877793918,23,35,-44,-84,13,1,-2,36
1501874877793918,-6,-22,-6,61,17,-4,-7,-39
1501874877814965,-9,-27,17,-33,6,-3,-6,0
1501874877814965,21,17,6,-55,-26,-11,-7,18
1501874877815921,-21,2,42,89,-3,-9,-7,-62
1501874877815921,25,-9,-50,7,-35,-2,5,68
1501874877827964,-17,44,-43,-16,22,-2,-8,-45
1501874877827964,7,13,28,43,9,-2,9,26
1501874877836931,-9,-43,1,-59,18,18,5,-18
1501874877836931,-15,-6,14,4,-30,-12,-13,-26
1501874877851988,18,30,25,1,28,6,6,0
1501874877851988,-7,-51,-20,5,-9,-2,-8,7
1501874877853941,5,16,-52,36,9,1,6,-13
1501874877853941,-4,61,46,-26,29,8,-1,-6
1501874877874989,-19,-42,-83,-26,-18,-4,-9,55
1501874877874989,2,-34,22,40,-10,2,8,11
1501874877875923,-7,-9,27,21,-4,-10,-10,-5
1501874877875923,-9,-11,-44,-37,-2,0,-8,-56
1501874877887958,13,28,27,6,-6,-6,3,-29
1501874877887958,-7,-17,-42,36,-14,-4,5,41
1501874877896945,1,20,17,49,34,11,-2,-43
1501874877896945,7,16,31,-62,-2,-4,1,40
1501874877911965,5,10,18,-3,8,4,0,-70
1501874877911965,-3,-14,3,27,-7,-9,-6,19
1501874877913957,-5,17,-17,-78,-39,-5,-3,-51
1501874877913957,3,-9,-25,-7,18,1,-1,34
1501874877934998,-6,-4,-35,-18,-7,2,-4,-40
1501874877934998,-17,5,-26,-42,-41,-2,4,-42
1501874877935926,24,44,14,20,27,-11,-4,88
1501874877935926,-12,-21,-2,73,15,2,7,-25
1501874877947992,1,-15,34,-46,22,6,-3,7
