timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501932116872104,1,13,12,-37,-7,-6,-53,-2
1501932116872104,-10,1,6,12,0,-2,-25,4
1501932116881138,10,2,56,51,11,0,-59,-3
1501932116881138,-31,-28,-24,-69,-7,-13,-12,-46
1501932116883111,69,18,-20,27,-3,5,36,8
1501932116883111,-18,11,-16,-29,-11,-7,-18,-42
1501932116885098,-11,-8,-11,3,4,11,74,28
1501932116885098,-74,-11,1,28,1,-2,7,-17
1501932116894116,11,-11,20,29,7,-6,-38,-59
1501932116894116,-55,-6,-42,-30,-12,-5,39,29
1501932116902109,13,3,8,2,-9,-2,-11,-5
1501932116902109,20,1,-9,38,4,-2,15,-5
1501932116909137,-8,0,21,16,6,8,21,6
1501932116909137,10,4,-35,5,6,-4,-1,69
1501932116927140,-46,-11,10,-17,-11,-5,6,-6
1501932116927140,1,1,2,45,9,6,-61,50
1501932116930147,89,-7,9,-19,-9,-16,-48,-58
1501932116930147,51,55,70,39,14,13,-5,-15
1501932116945161,-51,-6,-78,-57,-8,-4,23,25
1501932116945161,38,-16,-2,-4,-9,-13,-82,-28
1501932116954149,-55,-9,-6,43,5,-4,-28,49
1501932116954149,-32,2,-8,-74,-18,1,35,-41
1501932116969142,7,12,13,16,9,-9,-79,-57
1501932116969142,-53,-4,19,-29,-2,10,70,4
1501932117009120,-12,-17,1,-9,-1,-14,-23,-5
1501932117009120,53,-26,-68,5,2,-4,-14,24
1501932117009120,-10,-9,57,15,0,-12,-59,32
1501932117009120,-12,39,-35,-26,0,2,51,24
1501932117010115,24,-16,-15,-1,-2,-10,-62,-55
1501932117010115,-12,1,50,-3,0,11,59,21
1501932117013138,5,-1,-1,3,6,5,67,24
1501932117013138,13,-19,-5,-23,-7,-2,8,-13
1501932117022106,1,10,-2,-18,-4,-6,-8,-4
1501932117022106,-34,7,14,-5,-3,-8,-51,25
1501932117028170,73,6,39,37,12,7,7,32
1501932117028170,-63,0,-17,-43,-5,-2,-53,22
1501932117044152,58,5,13,-27,-2,11,55,-8
1501932117044152,26,5,-21,-1,-3,-5,27,15
1501932117050156,-29,9,-27,-15,-2,-3,-22,-4
1501932117050156,18,-19,12,9,-3,-3,-47,23
1501932117065150,-80,13,18,32,6,17,90,78
1501932117065150,-80,11,-16,-12,3,3,20,-49
1501932117082125,83,-4,-48,-11,-3,9,32,-7
1501932117082125,37,22,21,45,8,10,46,-17
1501932117083119,15,4,47,-9,-10,-13,-74,36
1501932117083119,16,9,-7,51,13,11,19,38
1501932117095110,-122,7,8,-47,-10,1,22,-18
1501932117095110,-30,-16,-49,6,3,-2,0,18
1501932117104155,-2,-5,-9,-27,0,-2,-28,-50
1501932117104155,-7,-16,-31,-11,-9,-5,-37,-92
1501932117127123,-29,10,28,14,1,-8,-35,19
1501932117127123,45,-37,-33,-10,-5,-9,-47,-16
1501932117128113,-39,19,38,26,1,-3,29,-7
1501932117128113,78,2,8,-8,1,-5,-7,18
1501932117142123,-55,-18,-19,-13,-4,0,-22,-62
1501932117142123,17,1,33,4,-11,-13,-39,-80
1501932117143112,-28,-8,-77,-35,-2,2,-16,-7
1501932117143112,-13,-6,38,-36,-10,-6,-30,62
1501932117155155,-40,-5,-16,11,3,4,46,-48
1501932117155155,-10,12,36,14,4,1,-10,-15
1501932117164158,-34,-26,-21,28,-5,-4,-21,-5
1501932117164158,-40,-3,7,-40,-2,0,-14,8
1501932117179123,11,-4,-10,12,3,3,8,36
1501932117179123,36,-12,10,-22,2,3,-11,6
1501932117181126,-49,19,-2,16,7,9,22,-35
1501932117181126,4,-12,23,18,5,3,28,29
1501932117202131,59,12,-9,-38,-10,-9,3,-26
1501932117202131,-19,-3,-27,-7,-8,-14,-36,-6
1501932117203117,41,-10,7,-5,2,5,18,39
1501932117203117,36,10,16,5,-1,5,58,-16
1501932117215162,11,2,5,3,3,0,-12,-14
1501932117215162,-36,10,-3,18,1,-3,-5,66
