timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501936799905271,7,14,14,-111,-70,10,11,8
1501936799905271,-4,-20,-31,46,43,13,-1,1
1501936799906293,0,-5,14,-93,-25,5,-3,-2
1501936799906293,4,3,-15,72,26,7,3,-3
1501936799909326,-2,3,-8,-11,21,-2,-5,-1
1501936799909326,1,-3,-11,-69,-10,-17,-11,-8
1501936799911305,-4,-4,-3,32,41,-6,-9,-6
1501936799911305,3,3,-6,21,-34,-5,3,7
1501936799925311,7,10,53,-14,49,20,16,11
1501936799925311,-7,-1,31,66,-10,0,-7,0
1501936799929307,-9,-10,-34,-11,-11,-2,-3,-34
1501936799929307,0,0,16,-25,79,-3,-3,-4
1501936799931330,6,12,23,109,-3,15,-1,-2
1501936799931330,-5,-12,-61,-73,-75,-10,7,3
1501936799946310,5,6,-6,55,8,3,-5,9
1501936799946310,-1,13,59,53,52,4,-1,-2
1501936799955319,-11,-19,-29,-78,-73,-16,0,-10
1501936799955319,12,14,-14,-65,38,18,-2,6
1501936799977312,-10,-12,-13,15,-3,-19,-2,-2
1501936799977312,-7,-1,-2,-114,-108,-18,-13,-8
1501936799978283,7,-20,-61,30,40,-5,-2,22
1501936799978283,0,10,9,-104,-84,-5,-3,-25
1501936799991314,-5,-5,23,96,24,-11,4,12
1501936799991314,-5,-19,-54,11,10,-2,-11,-15
1501936800032275,-8,-2,42,51,-28,-24,-5,-3
1501936800032275,-1,-6,-20,47,-6,-11,-10,0
1501936800033277,0,3,24,78,5,5,6,-8
1501936800033277,11,11,5,69,55,21,0,3
1501936800037283,2,-3,-45,-76,-20,14,9,6
1501936800037283,-1,-10,8,-65,37,-1,-8,-9
1501936800038277,-3,5,20,70,10,-9,-5,-2
1501936800038277,1,-4,36,77,49,-17,-7,20
1501936800043304,16,-7,-18,-65,-25,-1,-1,-6
1501936800043304,-6,5,41,46,30,8,6,-14
1501936800051276,-41,-12,-92,-116,-36,-7,-5,0
1501936800051276,-22,-4,11,-106,-31,-16,-13,7
1501936800060277,26,-1,-3,30,15,5,11,9
1501936800060277,-5,9,3,-82,-51,-4,7,69
1501936800074311,36,5,-16,-41,26,11,-5,13
1501936800074311,-40,-8,28,109,27,10,6,-17
1501936800081312,19,-8,-64,-88,-11,-9,-7,-12
1501936800081312,10,-11,26,46,1,-10,-5,41
1501936800104312,-38,12,50,91,20,15,9,-64
1501936800104312,4,-12,-47,34,-13,-11,-12,-41
1501936800106281,-13,-4,68,103,-9,-25,-13,-24
1501936800106281,34,9,-36,68,12,12,4,4
1501936800118289,10,6,46,31,-4,0,-2,9
1501936800118289,10,3,-6,8,17,-3,3,-6
1501936800127282,-12,18,25,71,31,12,-1,11
1501936800127282,-1,-10,6,-30,19,9,5,-7
1501936800142315,-19,-27,12,11,-32,-33,-17,-3
1501936800142315,2,-7,-46,-102,-68,-8,1,-10
1501936800144284,-6,-7,-80,-103,-7,4,-6,20
1501936800144284,-9,16,51,-32,63,20,8,-9
1501936800166286,7,-19,-45,-106,-83,-19,-4,-2
1501936800166286,-14,-5,-6,-58,-7,-10,-3,-23
1501936800168286,-15,3,17,-24,13,17,1,-3
1501936800168286,-7,-9,-55,-1,16,-5,1,-9
1501936800178323,22,9,-1,4,11,-5,8,17
1501936800178323,1,-6,6,62,63,23,1,32
1501936800187284,-7,2,13,34,3,-31,-8,13
1501936800187284,10,-1,-14,24,-17,1,0,2
1501936800202404,-8,-10,-51,-53,13,4,-2,-1
1501936800202404,8,17,20,-109,-82,6,5,21
1501936800203371,6,-2,-37,100,72,8,0,-2
1501936800203371,-20,-19,-27,-64,-85,-36,-13,-20
1501936800225362,4,21,85,115,44,17,3,-25
1501936800225362,14,2,-55,-79,-70,-3,1,7
1501936800226364,-6,8,10,-38,-7,12,12,22
1501936800226364,-5,4,32,18,-25,-12,-11,14
1501936800238435,25,31,39,48,84,50,17,90
1501936800238435,2,-13,-60,41,-10,-4,5,8
1501936800247365,3,-2,17,-15,-45,-10,-3,-7
1501936800247365,-41,-4,9,44,30,-2,-9,-21
1501936800262370,14,-7,-30,15,-40,-4,-7,-1
1501936800262370,-14,9,47,80,26,13,10,1
1501936800263365,8,0,-6,30,-4,-2,-4,-9
1501936800263365,-8,-2,6,67,30,5,-6,-37
1501936800284364,-10,-3,1,-26,-13,-17,-6,-14
1501936800284364,4,1,-5,24,36,12,-1,3
1501936800286368,-6,-19,-20,-47,-45,-24,-8,-10
1501936800286368,24,-3,-49,59,-67,-13,-2,21
1501936800298370,-14,-2,-26,29,-5,-6,2,-15
1501936800298370,7,-11,-30,-97,-50,-12,-5,12
1501936800307372,1,15,67,59,61,18,7,6
