timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499876443188478,-19,-11,-63,61,6,0,-39,108
1499876443188478,41,-30,-60,-107,-25,-10,43,8
1499876443193503,-38,13,32,-86,-8,-12,-6,-77
1499876443193503,61,-34,31,1,-3,-7,-10,-19
1499876443194473,-100,-15,-17,36,7,1,5,-116
1499876443194473,-14,-20,-33,92,-4,-8,-22,-22
1499876443196505,39,-3,21,45,11,8,9,102
1499876443196505,-110,-14,29,24,22,12,-15,-13
1499876443206512,93,13,84,8,-7,2,7,19
1499876443206512,-70,-7,-9,105,-2,-9,-18,-67
1499876443218478,34,27,-53,-39,-13,-5,-19,-13
1499876443218478,8,-13,-15,116,-4,-9,-30,11
1499876443221488,-16,-24,-30,-71,-20,-1,84,-15
1499876443221488,-12,23,6,80,14,13,7,76
1499876443236510,-5,3,17,64,6,-5,-1,24
1499876443236510,6,24,18,-79,-7,0,-6,-21
1499876443245508,23,-19,16,51,16,10,9,52
1499876443245508,-14,0,-27,9,5,-4,-11,-25
1499876443260492,3,-9,-36,-74,-21,-1,-13,-21
1499876443260492,13,9,39,108,29,4,-10,-29
1499876443266517,5,-17,-42,34,-14,-14,-18,21
1499876443266517,-3,28,61,33,9,9,7,-34
1499876443281482,1,-10,-23,-46,1,1,15,81
1499876443281482,38,11,57,8,-16,-5,-12,46
1499876443322479,-2,-12,-62,-15,-4,1,28,-15
1499876443322479,-16,1,3,19,3,4,-14,47
1499876443323512,-1,13,45,-40,14,3,23,7
1499876443323512,-6,-34,-11,-80,-22,-11,-23,-7
1499876443324477,3,46,-9,-76,13,9,12,58
1499876443324477,-15,-11,15,59,-4,-10,-12,-32
1499876443326488,21,3,-22,-55,-1,-1,-3,12
1499876443326488,-22,6,13,120,11,5,-15,11
1499876443335474,75,13,10,-43,6,3,-2,47
1499876443335474,-30,-8,-62,44,-11,-5,2,-47
1499876443341476,-9,6,34,65,3,5,7,-59
1499876443341476,-9,-19,18,-40,-10,-6,-1,-17
1499876443350476,-21,8,36,-22,-1,-5,-17,-60
1499876443350476,11,-8,27,68,10,-2,-3,64
1499876443363542,50,1,24,-60,-6,2,4,24
1499876443363542,8,-6,-98,-30,-9,4,13,-8
1499876443372482,-7,-15,15,127,-13,-11,-13,28
1499876443372482,23,-4,5,-83,-10,-6,-13,-22
1499876443395512,-1,-2,-42,-24,4,4,14,1
1499876443395512,75,38,38,-56,23,9,13,37
1499876443396517,-15,-8,-69,43,-16,1,-3,57
1499876443396517,31,-24,35,72,5,-1,26,-46
1499876443409498,-90,-19,-18,-49,-7,-3,-24,13
1499876443409498,-4,24,38,15,4,0,6,-31
1499876443416499,-29,-11,-6,-61,-3,-3,-20,-57
1499876443416499,65,22,-2,21,6,4,6,104
1499876443432480,-16,-25,-41,-2,-16,-8,-8,-17
1499876443432480,-8,-1,44,53,4,0,0,-7
1499876443434504,-45,0,29,59,9,1,-7,-44
1499876443434504,51,8,-76,-42,-13,-3,8,106
1499876443455483,8,11,5,5,6,-4,-5,-16
1499876443455483,-7,7,-2,48,3,0,2,64
1499876443456494,-10,-21,-18,-85,-15,-8,-2,-32
1499876443456494,4,-1,37,-28,4,3,-2,-40
1499876443469527,-17,11,43,-9,10,6,-4,19
1499876443469527,51,-16,-32,67,12,2,9,-13
1499876443476519,-12,-16,-45,-40,-17,-6,-3,26
1499876443476519,25,-36,-30,-49,-6,2,-1,-79
1499876443492489,-1,7,50,-9,7,3,0,58
1499876443492489,-26,-5,2,-24,-8,-5,-4,-14
1499876443494497,66,7,20,-37,6,2,-1,39
1499876443494497,-75,11,31,-53,5,-3,-13,-35
1499876443515555,21,-9,-4,70,-9,-8,2,-51
1499876443515555,-72,-8,-5,14,-3,1,7,-26
1499876443516521,84,21,4,5,12,7,-1,-12
1499876443516521,-16,28,49,23,-2,-4,-3,-46
1499876443529556,-16,-15,-37,-23,-17,-9,-7,80
1499876443529556,12,7,15,52,-4,-11,-5,6
1499876443536533,29,-4,-36,45,-9,-3,5,51
1499876443536533,-17,7,-23,-44,1,2,-4,-18
1499876443552514,36,4,-36,88,6,5,-3,11
1499876443552514,13,11,6,-128,-11,-3,-6,9
1499876443554494,-58,0,32,124,12,7,7,-13
1499876443554494,19,-20,-32,-60,-16,-3,6,53
1499876443575529,8,-2,-16,37,-16,-13,-10,-89
1499876443575529,-12,-4,-1,-33,-8,-3,-7,19
1499876443576500,-9,-5,16,37,10,0,-8,-20
1499876443576500,-42,18,26,50,15,9,9,22
1499876443589494,23,3,-19,-24,-11,-4,-4,-26
1499876443589494,29,-9,-2,7,-1,-5,-4,16
1499876443597557,-71,1,6,88,17,8,1,-18
1499876443597557,-10,-1,10,77,-19,-13,8,61
1499876443612510,-22,-3,3,1,10,5,6,55
1499876443612510,-55,-4,5,11,-1,-2,-30,-53
1499876443614496,49,0,-8,-83,-16,-7,-8,24
1499876443614496,-32,-6,-23,-58,10,8,32,-20
1499876443635555,19,5,45,127,16,-3,-14,38
1499876443635555,-1,-17,-43,12,-11,1,12,24
1499876443636496,-59,-10,14,-90,-16,-13,-19,-111
1499876443636496,14,5,18,30,11,4,-13,14
1499876443649533,8,10,-22,8,5,7,13,4
1499876443649533,4,-8,3,23,-1,-3,-6,-35
