emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-1,3,10,0,-2,-1,3
2,4,0,-5,-1,-2,-1,4
-5,-3,9,19,-2,-2,-3,-8
-3,-4,-4,26,3,0,-1,-1
5,-2,-4,-2,-1,-1,-3,16
-5,-7,-10,-77,-10,-5,-3,-11
0,-1,14,50,4,0,0,8
2,0,-18,-17,-6,-4,-8,4
-13,1,9,27,10,2,6,-39
9,0,-3,24,1,-1,-3,44
-6,-4,-18,-62,-9,1,2,7
0,-2,5,8,5,0,-1,-2
0,-5,-4,-24,-4,-3,-3,11
1,-1,-8,12,0,0,0,13
-6,-2,28,-11,-5,-3,-2,-45
-1,2,-6,35,3,2,0,1
0,0,-4,-13,-6,-5,-1,2
-4,2,4,-9,6,5,6,-33
10,-1,-1,25,2,0,-9,29
-7,-3,1,47,-5,-2,2,-36
-5,1,8,-57,-7,-4,-4,11
-7,-2,-2,-4,2,2,6,-11
-2,5,2,-1,0,-2,-8,-21
2,2,3,-10,-1,-2,-4,13
4,11,12,25,5,3,-2,19
6,-7,1,17,-8,-5,-5,-32
-19,-13,-15,-49,8,1,-2,-7
-2,-4,5,79,0,1,1,7
2,7,5,-41,-6,-1,-1,-17
-2,-22,-5,-61,-7,-7,-5,-4
12,12,-7,24,-1,-5,0,-5
13,-5,0,51,3,0,1,34
-10,13,4,-20,16,8,6,-54
0,9,12,2,-9,4,1,27
3,-17,-14,6,-11,-8,0,-19
6,-9,-12,-41,-7,-1,1,67
44,-19,-17,22,11,4,9,102
-15,37,-5,57,6,-6,-7,-26
53,73,24,12,11,17,24,52
-44,-54,5,11,3,-6,-12,-41
8,15,4,19,-6,-4,-7,-3
42,16,-12,-35,3,-5,-3,78
-28,-99,-19,-1,-11,-7,-4,79
30,111,50,15,2,9,17,-88
-20,-101,10,10,-4,-10,-9,-8
-2,-17,-8,13,19,2,-5,-37
-40,3,0,-15,-1,6,-6,-29
-18,-83,-49,-88,-6,-6,-5,26
-18,-37,-24,-14,-25,-5,-3,-22
22,97,31,61,-16,3,11,29
56,66,16,69,34,8,13,-13
-51,-82,-27,-88,-7,-12,-39,-106
-3,76,-18,-15,-16,-1,-5,-5
-26,-128,-32,-67,-11,4,9,9
-28,26,-7,-64,-36,-1,-1,-34
15,48,31,23,8,-2,3,20
55,87,45,88,9,9,15,25
23,-9,21,-18,3,11,22,62
-49,-93,-4,127,14,-5,-7,-15
16,-31,-100,-80,-44,-20,-35,5
21,51,3,-12,42,9,12,79
-39,127,9,-1,-9,-13,-27,-54
-10,-92,-18,-10,-8,-8,-31,-70
-43,88,15,23,8,5,7,4
-18,-39,0,53,-10,-1,-2,-26
22,58,0,-56,-4,6,10,8
24,-18,36,9,18,3,32,127
-78,-110,-23,-10,-26,-10,-44,-113
7,104,4,8,44,19,39,19
-9,-84,-31,-1,-7,-13,-10,77
-14,2,-20,20,-15,-1,10,-81
3,-13,25,-63,-15,-8,-26,48
-24,-54,21,18,-7,-11,-56,-10
10,-45,-13,-48,5,-4,2,-33
20,55,40,18,-2,9,6,-3
38,92,38,33,43,27,68,87
-19,-5,-35,-112,-28,-3,35,57
-52,-4,-14,36,-11,-22,-58,-72
21,115,-29,-36,-10,-5,-10,35
4,39,23,-18,17,17,54,-10
-63,-69,0,63,-29,-13,-41,-62
48,127,42,-22,0,-1,-6,-11
-4,-70,-14,19,35,3,27,27
-5,-55,-21,3,28,-6,-44,-87
2,-24,-42,-30,-6,5,16,-2
-5,-51,27,49,5,2,8,-37
4,39,9,-74,-18,-11,-14,-12
40,3,1,9,5,1,26,72
