timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499879567023230,-38,76,71,-56,5,-3,38,49
1499879567023230,64,-51,-53,-23,-4,7,33,107
1499879567023230,-104,-75,4,26,-16,-16,42,-13
1499879567023230,-14,84,-32,36,7,4,-61,-88
1499879567024207,48,-72,-14,-51,-8,-11,-4,36
1499879567024207,50,-6,42,3,-16,6,12,49
1499879567025205,-49,-23,-19,-48,21,2,48,10
1499879567025205,-36,-43,27,-18,-2,3,-8,-39
1499879567029208,38,102,2,-34,-2,8,62,19
1499879567029208,-56,-66,-2,51,11,-12,-59,49
1499879567037212,75,74,17,27,-26,1,-40,-31
1499879567037212,-98,-128,-30,-108,1,-20,-21,5
1499879567051203,9,-74,4,118,-10,1,-25,-52
1499879567051203,24,24,-5,35,40,30,84,61
1499879567059219,17,87,77,2,14,-7,-61,-72
1499879567059219,91,-59,59,27,34,3,66,100
1499879567066265,-71,31,-87,-78,-13,1,-23,25
1499879567066265,-46,17,58,81,-42,-19,-48,-20
1499879567089220,5,64,30,-39,67,23,16,13
1499879567089220,27,-20,-23,8,-63,-10,51,125
1499879567129213,-16,78,-4,-17,49,-3,17,77
1499879567129213,33,17,-52,16,31,17,71,93
1499879567130245,-44,-107,-18,-42,-29,-12,-51,-92
1499879567130245,41,92,-20,28,-21,7,3,-16
1499879567131241,-5,-1,26,-41,-18,-15,-31,-30
1499879567131241,-18,-40,-33,76,-36,3,64,92
1499879567134273,-10,-34,36,-66,13,-8,12,71
1499879567134273,35,-6,34,18,-30,2,-39,36
1499879567140254,-28,32,15,88,62,-2,-17,-66
1499879567140254,-9,-53,-26,-66,13,2,-22,-50
1499879567148269,74,113,26,94,-65,-5,29,9
1499879567148269,-66,-123,-34,-46,98,-5,-15,-87
1499879567157215,41,73,38,-8,-29,9,26,77
1499879567157215,-19,52,35,-3,-16,-5,-8,28
1499879567171279,-3,40,-13,40,-3,-4,-33,-57
1499879567171279,56,88,68,-26,-13,6,25,41
1499879567178253,-61,-105,-43,18,-9,-5,-13,-13
1499879567178253,17,44,36,-43,-2,-13,-24,-47
1499879567193253,-22,-4,-110,-47,17,1,5,-8
1499879567193253,31,31,45,27,-14,5,21,83
1499879567202213,-2,-68,-53,56,30,3,-1,-27
1499879567202213,0,-21,99,34,17,2,-6,9
1499879567217258,18,-42,-26,-30,34,20,77,110
1499879567217258,-45,-43,-20,-22,-19,-19,-98,-103
1499879567219218,54,0,-90,-74,-38,7,5,-33
1499879567219218,-40,60,76,44,26,-3,-26,-14
1499879567239278,20,7,21,62,5,0,4,-22
1499879567239278,-18,-23,-25,-12,28,-1,39,-5
1499879567241216,27,71,-30,-26,-47,5,45,106
1499879567241216,52,45,-77,-89,-12,2,-36,-46
1499879567253258,-54,60,3,-1,52,-10,-3,21
1499879567253258,0,74,66,37,-16,1,1,-8
1499879567262226,-8,32,44,0,-25,-3,-41,-104
1499879567262226,1,21,-2,88,5,3,27,38
1499879567276286,-20,35,28,-62,-26,-2,-18,-11
1499879567276286,-28,-128,-48,50,-31,-10,16,24
1499879567291229,-9,3,103,-29,-27,-6,-36,-88
1499879567291229,41,-2,-40,3,41,0,9,37
1499879567299276,-51,-107,-63,-14,-38,-9,-36,-52
1499879567299276,-1,121,34,96,42,6,-13,-45
1499879567301229,3,-72,27,-55,-25,4,33,60
1499879567301229,-17,7,15,3,-16,-3,-11,-43
1499879567322259,23,5,13,27,6,-5,-7,-12
1499879567322259,-4,-20,4,-28,-10,2,30,58
1499879567324221,52,103,12,28,20,4,11,-12
1499879567324221,-7,-40,-21,-105,-27,-7,17,15
1499879567337287,-12,-9,-48,65,30,7,9,125
1499879567337287,-37,-6,32,-24,-36,-16,-46,-23
1499879567339223,10,55,32,-8,43,-5,1,74
