timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499895314305899,2,0,28,-48,-2,-2,-2,-1
1499895314305899,-9,-2,-43,19,9,3,4,12
1499895314306900,-6,4,12,14,1,1,-3,-17
1499895314306900,7,0,10,7,3,-2,-4,-6
1499895314328922,0,-9,-28,-12,-12,-2,-4,-1
1499895314328922,8,11,27,26,8,4,0,2
1499895314329906,-3,-3,6,-43,-11,-5,6,-6
1499895314329906,-14,-4,-30,-15,1,-2,-4,4
1499895314342901,15,2,16,101,4,-1,-4,-4
1499895314342901,-38,-5,0,-126,-1,-2,-15,-20
1499895314350903,-1,-1,-6,-7,-4,-2,10,-2
1499895314350903,1,0,6,-45,-1,-3,-3,-12
1499895314365905,-10,-3,-13,63,-6,-2,-3,37
1499895314365905,19,-4,-7,-12,2,2,-6,-3
1499895314366903,-7,4,6,40,7,5,2,-33
1499895314366903,-16,-5,-6,19,-3,0,-2,-28
1499895314388904,-8,-2,-14,-86,1,-1,-1,2
1499895314388904,2,-2,11,23,-2,-6,-3,-37
1499895314389904,10,-4,-11,-12,-3,-4,-1,21
1499895314389904,-12,7,31,1,3,-2,-2,-2
1499895314404907,-32,-12,-35,13,-8,-1,3,-6
1499895314404907,5,-4,5,-50,-5,-4,5,10
1499895314411912,12,3,3,63,3,-2,-11,35
1499895314411912,-12,-7,-11,-64,2,-1,1,-28
1499895314425909,19,10,13,-47,-6,-2,5,-12
1499895314425909,-50,-1,7,15,-7,-2,1,-12
1499895314426908,35,4,27,83,6,1,4,0
1499895314426908,-20,-5,-26,-16,-7,-3,-21,6
1499895314448922,10,-6,-5,14,0,1,28,25
1499895314448922,24,1,2,66,3,0,-1,16
1499895314449913,-51,-6,-20,-87,-5,-2,-8,-18
1499895314449913,-3,2,13,53,3,1,4,3
1499895314462908,7,4,1,-55,3,1,-14,-19
1499895314462908,17,-1,-20,28,-2,0,5,12
1499895314471920,-5,-6,11,16,-1,-4,-3,17
1499895314471920,15,3,-7,-10,-7,1,1,5
1499895314485910,-10,-5,-5,-89,-3,-1,-6,1
1499895314485910,0,-5,11,56,-1,-1,2,55
1499895314486909,0,1,-15,24,3,1,5,-31
1499895314486909,31,0,-15,-102,-7,3,2,-6
1499895314509912,-27,-11,0,55,1,-3,1,29
1499895314509912,6,8,-2,26,8,6,-3,-11
1499895314510912,18,-4,-17,-102,-16,-8,-10,-11
1499895314510912,34,0,21,54,4,-4,8,53
1499895314531914,-35,1,-10,-8,-2,-1,-6,-38
1499895314531914,-5,-5,3,28,-2,-2,2,-16
1499895314532913,-17,-13,-28,-52,-7,-3,-6,4
1499895314532913,10,2,7,4,0,-2,2,37
1499895314545913,11,4,23,26,4,-1,-11,-31
1499895314545913,0,8,-11,-69,3,3,7,13
1499895314546913,1,-1,4,96,-7,-3,-3,24
1499895314546913,-15,-9,-21,-3,-8,-3,2,-17
1499895314568917,14,4,5,-11,0,-2,-5,3
1499895314568917,-5,2,4,-26,4,1,0,-5
1499895314569918,11,4,0,52,3,0,-1,17
1499895314569918,-43,-11,-3,-70,-16,-8,-7,-21
1499895314591920,-15,6,14,34,8,2,-5,-11
1499895314591920,25,1,-4,-5,-1,1,7,-21
1499895314592916,-27,-9,4,-31,5,0,-2,-11
1499895314592916,11,0,-3,69,2,1,-3,-11
1499895314605917,12,-1,0,-55,-9,1,5,16
1499895314605917,-11,1,2,-22,-3,-3,-4,-16
1499895314606917,-6,-1,5,-5,-10,-10,-5,-15
1499895314606917,8,-1,-7,30,12,6,-1,-21
1499895314628918,25,4,-24,4,4,2,-1,42
1499895314628918,-8,-9,-1,10,-11,-8,-3,7
1499895314629918,4,-4,-31,-4,-1,-1,0,11
1499895314629918,-7,6,12,9,0,0,4,-6
1499895314651919,-18,-7,-10,-64,-6,-5,-7,-10
1499895314651919,-2,-3,1,109,3,1,-1,-13
1499895314652920,2,3,11,-85,-5,1,0,-16
1499895314652920,10,1,-13,-50,-2,-3,-9,-22
1499895314665935,14,-2,0,36,3,0,2,-37
1499895314665935,-1,-3,15,51,-6,-6,-1,19
1499895314666919,-5,-1,-3,-49,-2,4,1,4
1499895314666919,13,-1,-1,4,-1,-5,-3,22
1499895314688922,-1,4,10,5,2,2,-2,-13
1499895314688922,-17,-7,-13,-50,-6,-1,0,13
1499895314689923,35,-3,4,73,-7,-4,-5,-9
1499895314689923,6,8,-9,-104,-3,1,-1,5
1499895314711922,2,-1,24,111,8,-3,0,-10
1499895314711922,7,3,-2,10,-1,0,0,29
1499895314712933,-47,0,-8,22,9,3,-2,-45
1499895314712933,-21,-5,13,52,-2,-5,-2,-17
1499895314725924,3,-9,-27,-80,-14,-4,-2,2
1499895314725924,1,8,-2,-47,3,3,5,-19
1499895314726928,14,11,32,49,8,4,1,-29
1499895314726928,-5,-9,-3,-23,-10,-5,-3,4
1499895314748926,-3,1,-4,16,6,2,2,-13
1499895314748926,14,-5,3,-42,-10,-4,-3,5
1499895314749926,-23,5,-9,-31,3,1,2,-5
1499895314749926,5,1,2,41,4,2,2,11
1499895314771932,15,1,21,25,-7,-1,-2,20
1499895314771932,-4,5,3,-10,7,2,-1,-20
1499895314772928,10,-9,7,16,-3,-2,-2,42
1499895314772928,-14,0,-5,-29,1,2,-1,-69
1499895314785927,-4,-8,-29,19,0,-2,2,-1
1499895314785927,-20,-3,-9,-62,-4,-5,5,-22
1499895314786926,-23,4,16,-36,-2,0,-5,13
1499895314786926,7,-1,-5,77,-2,-3,-2,26
1499895314808928,-5,3,6,-25,1,3,3,-35
1499895314808928,3,2,9,34,-1,0,1,3
1499895314809930,8,-4,-2,-62,-4,0,5,9
1499895314809930,0,1,31,76,4,-3,0,40
1499895314831934,26,10,25,9,5,1,-3,3
1499895314831934,-7,-5,-16,30,-5,-1,1,11
1499895314832932,14,-5,-46,-106,-12,-3,1,3
1499895314832932,-3,1,16,46,0,0,-4,-27
1499895314845937,-8,0,4,30,5,1,0,12
1499895314845937,9,-4,9,16,-3,-3,-5,3
1499895314846930,7,3,-22,-68,1,4,3,-11
1499895314846930,-15,-9,-7,56,-6,-3,0,-14
1499895314868937,8,-1,14,7,-3,-5,-2,43
1499895314868937,-3,3,-9,34,9,1,-5,-10
1499895314869931,1,0,14,-4,-7,-4,-1,31
1499895314869931,-4,-1,-9,-14,5,4,1,3
1499895314891933,-9,-3,-6,-29,-12,-9,-4,-3
1499895314891933,8,-10,-16,5,1,5,-3,4
1499895314892934,4,-3,12,22,2,-2,2,2
1499895314892934,-1,-1,7,-36,-1,-4,-1,12
1499895314905949,14,-2,-24,67,0,-1,-3,3
1499895314905949,-10,-4,-6,-111,-12,-5,-7,-14
1499895314906934,16,3,3,82,12,-1,-4,-7
1499895314906934,7,0,-4,-5,-2,1,4,-2
1499895314928940,-15,-3,8,60,-1,-2,-4,-20
1499895314928940,0,-2,-2,-79,-3,-3,1,34
1499895314929935,22,5,-6,-13,0,3,4,22
1499895314929935,-29,-5,-20,-5,3,-2,-1,-46
1499895314951936,-1,1,4,-29,0,-2,0,18
1499895314951936,0,-2,0,19,-7,0,-1,-5
1499895314952937,-4,1,16,-7,-5,-2,0,10
1499895314952937,4,5,-10,19,6,4,2,4
1499895314965952,4,-8,-8,-74,-6,1,1,46
1499895314965952,-15,-3,10,102,5,-5,-4,-2
1499895314966937,-1,-1,0,-14,-5,-3,-3,0
1499895314966937,5,-1,-1,-27,0,-1,-1,8
1499895314988939,-16,1,-9,-18,-4,3,4,-15
1499895314988939,13,-1,-7,19,4,-1,-1,33
1499895314989938,-5,-5,1,-9,4,-1,-4,-31
1499895314989938,-41,-15,-21,10,-10,-4,-2,16
1499895315011941,8,7,15,-32,3,1,3,-32
1499895315011941,-24,4,17,3,4,1,2,-32
1499895315012947,5,-8,-28,59,0,-2,-2,-11
1499895315012947,-4,1,7,-29,-7,-5,-2,1
1499895315025942,-2,4,9,3,1,0,-1,-22
1499895315025942,-11,-5,-10,0,-2,-3,-4,-37
1499895315026942,-6,1,4,39,5,2,0,5
1499895315026942,3,4,17,-49,-3,0,-2,-39
1499895315048942,4,-4,-12,14,-3,-11,-7,26
1499895315048942,10,-8,-16,-48,-10,4,-1,-4
1499895315049942,-12,0,18,63,5,3,1,-17
1499895315049942,20,-1,-14,-33,-6,-1,0,47
1499895315071948,1,3,8,-11,-3,-3,-6,-40
1499895315071948,2,3,20,31,3,-1,-1,-8
1499895315072945,-11,-13,-44,-49,-6,-4,-4,0
1499895315072945,6,0,19,102,10,2,1,14
1499895315085948,-15,-5,-10,-94,-10,-2,-1,5
1499895315085948,5,2,4,13,0,0,2,3
1499895315086944,5,2,11,-6,3,0,-2,20
1499895315086944,5,3,4,15,6,0,2,5
1499895315108962,8,0,-11,-17,-4,-1,0,2
1499895315108962,-4,-8,0,-7,-6,-5,-6,-23
1499895315109946,34,2,-1,-10,-1,-2,1,38
1499895315109946,-7,-4,-28,-42,-2,-2,-2,-36
1499895315131951,6,1,17,30,5,5,0,12
1499895315131951,8,0,-8,25,-4,-6,-5,20
1499895315132949,-2,1,10,-8,0,0,1,-8
1499895315132949,-21,-1,0,16,-7,-3,-3,14
1499895315145971,33,-1,3,45,3,1,1,14
1499895315145971,3,3,-3,15,2,-2,2,-8
1499895315146953,-10,0,-1,26,1,2,1,-7
1499895315146953,8,3,18,-27,-4,-1,-1,4
1499895315168965,-30,-12,-49,11,0,-1,-1,-17
1499895315168965,6,2,13,26,4,-1,0,2
1499895315169952,-10,-5,-18,-30,0,-1,-2,-18
1499895315169952,9,0,-3,-25,-4,-1,2,9
1499895315191950,-8,0,7,52,-2,-1,-5,-7
1499895315191950,6,3,-6,-13,6,2,3,-18
1499895315192952,-3,-5,-4,11,-6,-5,-1,11
1499895315192952,1,-3,-10,-4,-2,0,-3,-34
1499895315205993,-5,-3,11,11,2,0,0,3
1499895315205993,2,7,6,-25,-3,-2,-1,10
1499895315213994,8,-3,6,49,3,2,-2,11
1499895315213994,-5,-2,-11,-63,-3,-3,-1,-18
1499895315228972,0,-1,14,18,-5,-1,1,56
1499895315228972,-26,-2,-20,-35,-2,2,-4,-21
1499895315229957,10,-1,-4,11,-3,-4,-3,19
1499895315229957,9,-4,0,-4,3,1,-2,-4
1499895315251985,-5,-2,-3,2,2,1,0,-3
1499895315251985,-13,0,9,-36,-5,-1,-2,-31
1499895315252975,-15,3,-3,18,-1,-3,1,-20
1499895315252975,5,-4,11,47,2,-1,-2,18
1499895315265997,-7,3,-20,-49,-5,-2,-1,-3
1499895315265997,6,-10,5,-16,-7,-4,-5,27
1499895315273976,15,-1,-11,-4,0,1,-2,12
1499895315273976,6,6,16,-1,2,2,2,11
1499895315288956,-6,-1,-11,13,-1,0,-6,-72
1499895315288956,1,-10,-15,9,-8,-5,-1,11
1499895315289956,-4,0,2,7,-3,-1,1,1
1499895315289956,15,3,-6,-22,1,-2,-1,17
1499895315318958,1,1,11,52,7,1,2,-1
1499895315318958,6,0,-11,-75,-9,0,-1,13
1499895315319957,-33,-1,21,35,-3,-5,-4,-19
1499895315319957,-9,-2,-2,-12,-4,1,0,2
1499895315325998,-17,-1,-3,18,0,-4,-6,-72
1499895315325998,5,-1,8,4,2,0,1,25
1499895315333964,-12,-5,-18,-30,-1,-1,0,17
1499895315333964,-3,0,-13,62,2,2,1,-19
1499895315348961,-2,-1,-5,-68,-15,-4,0,21
1499895315348961,29,3,27,24,7,0,2,40
1499895315349961,-13,1,14,24,3,-1,-3,-29
1499895315349961,5,3,-20,-33,-4,0,0,13
1499895315371962,-2,-5,0,-25,-3,-3,-1,14
1499895315371962,0,0,-4,30,-5,-1,0,-8
1499895315372981,1,3,8,8,2,0,-1,9
