timestamp,x,y,z
1499894575850256,10,3.8125,2.8125
1499894575865258,5.5625,3.1875,4.75
1499894575888259,-4.8125,2.9375,6.4375
1499894575910260,-6,1.3125,7.125
1499894575925261,-2.75,1.6875,6.875
1499894575948265,2.4375,3.4375,6.3125
1499894575970266,7.5625,2.4375,4.75
1499894575985265,0.875,-0.3125,3.0625
1499894576008266,-4.875,-2.875,1.375
1499894576030269,0.75,-2.25,0.625
1499894576045269,8.3125,-1.4375,-1.25
1499894576068270,5.375,-2.1875,-0.8125
1499894576092281,0.625,-2.1875,-0.75
1499894576105274,2.875,-1.125,0.6875
1499894576128274,2,-0.625,0.875
1499894576150273,4.3125,0.0625,2.0625
1499894576171289,2.6875,1.375,1.75
1499894576195277,-1.4375,1.3125,1.9375
1499894576210280,0.625,0.0625,2.25
1499894576231282,2.625,0.4375,2.5
1499894576248280,2.9375,-0.375,2.3125
1499894576270280,1.1875,-0.25,1.0625
1499894576291286,-0.5625,-0.8125,0.5625
1499894576308292,0.9375,-0.625,0.375
1499894576330285,1.125,-0.8125,-0.1875
1499894576351299,2.375,-1.4375,0.25
1499894576368289,0.8125,-0.6875,0
1499894576390288,0.8125,0.8125,-0.0625
1499894576411304,-0.1875,0.875,0.25
1499894576434291,-2.25,0.5625,0.6875
1499894576450291,-2.125,0.0625,0.625
1499894576471306,1.4375,0.6875,0
1499894576488295,0.8125,0.75,-0.375
1499894576510294,-1.125,0.0625,-0.5
1499894576531295,-3.25,-0.8125,-0.25
1499894576548298,0.375,-1.8125,0.4375
1499894576570302,2.4375,-1.5,-0.5625
1499894576591299,1.875,-1.3125,-0.1875
1499894576608306,-0.1875,-0.375,-0.375
1499894576630305,-1.6875,-0.0625,0.375
1499894576653305,0.125,-0.375,0.8125
1499894576667305,0,-0.3125,0.3125
1499894576691309,-0.375,0,0.3125
1499894576714309,-0.1875,0.6875,0.3125
1499894576728309,0.5,0.375,-0.3125
1499894576750310,-0.5,-0.875,-0.25
1499894576773310,0.125,-0.875,0
1499894576795312,1.0625,-0.5625,-0.5625
1499894576810312,0.125,0,-0.6875
1499894576833315,-0.4375,0.375,-0.0625
1499894576847314,-0.3125,0,0.25
1499894576870317,-1,-0.25,0.5
1499894576893318,-0.25,0.125,0.75
1499894576907323,0.6875,0.5,1
1499894576930319,0.1875,1,0.9375
1499894576953321,-1.75,0.25,0.75
1499894576968322,-0.125,0.4375,0.5
1499894576990322,1.25,0.3125,0.375
1499894577014324,1,0.25,0.3125
1499894577027324,-1.3125,0.125,0.25
1499894577050328,-1.0625,0.125,0.3125
1499894577073327,-0.5,-0.125,0.4375
1499894577087329,-0.625,0,0.4375
1499894577110331,1,0.625,0.5625
1499894577133334,0.0625,1,1
1499894577154332,-2.25,1,0.75
1499894577170335,-1.9375,0.5,0.9375
1499894577193335,-0.25,0.5,1
1499894577214339,0.5625,0.375,0.5625
1499894577230337,-0.125,0.375,0.1875
1499894577260341,-0.625,0.25,0.0625
1499894577274360,-0.0625,0.375,0.3125
1499894577290341,-0.4375,-0.25,-0.0625
1499894577313342,-1.1875,0.125,-0.125
1499894577334341,0.0625,0.0625,-0.1875
1499894577350343,0.75,0,0.125
1499894577373345,-0.5625,0.375,-0.0625
1499894577394347,-0.8125,0.3125,0
1499894577410347,-0.625,-0.125,0.1875
1499894577433348,-0.5625,-0.4375,0.125
1499894577454354,0.8125,-0.1875,0.0625
1499894577470355,1.125,0.25,-0.3125
