timestamp,x,y,z,w
1499894575850256,-0.263367,-0.593018,0.650269,0.395142
1499894575865258,-0.26416,-0.591736,0.651184,0.394958
1499894575888259,-0.265747,-0.591797,0.651062,0.394104
1499894575910260,-0.26709,-0.592102,0.650757,0.393127
1499894575925261,-0.268127,-0.592041,0.650879,0.392395
1499894575948265,-0.26886,-0.591187,0.651428,0.392273
1499894575970266,-0.268921,-0.590027,0.652283,0.392517
1499894575985265,-0.269043,-0.589783,0.652588,0.392273
1499894576008266,-0.269104,-0.590515,0.652283,0.391663
1499894576030269,-0.268799,-0.590576,0.652466,0.391418
1499894576045269,-0.267944,-0.589722,0.653381,0.391846
1499894576068270,-0.267151,-0.589294,0.653992,0.392029
1499894576092281,-0.266785,-0.589355,0.654114,0.391968
1499894576105274,-0.266541,-0.58905,0.654541,0.391907
1499894576128274,-0.266541,-0.588745,0.654907,0.391724
1499894576150273,-0.266479,-0.588196,0.655457,0.391663
1499894576171289,-0.266663,-0.587646,0.655823,0.391724
1499894576195277,-0.26709,-0.587646,0.655762,0.391602
1499894576210280,-0.267334,-0.587524,0.655884,0.391357
1499894576231282,-0.267456,-0.587158,0.65625,0.391235
1499894576248280,-0.267395,-0.586792,0.656677,0.391052
1499894576270280,-0.267334,-0.586731,0.656799,0.391052
1499894576291286,-0.267334,-0.586731,0.656799,0.391052
1499894576308292,-0.267334,-0.586731,0.656799,0.391052
1499894576330285,-0.26709,-0.58667,0.656921,0.391052
1499894576351299,-0.266785,-0.586487,0.657227,0.391052
1499894576368289,-0.266785,-0.586487,0.657227,0.391052
1499894576390288,-0.266724,-0.586487,0.657227,0.391052
1499894576411304,-0.266724,-0.586487,0.657227,0.391052
1499894576434291,-0.267029,-0.58667,0.657043,0.39093
1499894576450291,-0.267273,-0.586853,0.65686,0.390747
1499894576471306,-0.267273,-0.586731,0.656921,0.390869
1499894576488295,-0.267273,-0.58667,0.656921,0.39093
1499894576510294,-0.267273,-0.586914,0.656738,0.39093
1499894576531295,-0.267395,-0.587402,0.656372,0.390686
1499894576548298,-0.267212,-0.587524,0.656433,0.390442
1499894576570302,-0.266785,-0.587463,0.656677,0.390503
1499894576591299,-0.266418,-0.587402,0.65686,0.390564
1499894576608306,-0.266418,-0.587341,0.65686,0.390564
1499894576630305,-0.266479,-0.587524,0.656738,0.390503
1499894576653305,-0.266479,-0.587524,0.656738,0.390503
1499894576667305,-0.266479,-0.587524,0.656738,0.390503
1499894576691309,-0.266479,-0.587524,0.656738,0.390503
1499894576714309,-0.266418,-0.587524,0.656738,0.390564
1499894576728309,-0.266418,-0.587524,0.656677,0.390564
1499894576750310,-0.266418,-0.587585,0.656677,0.390564
1499894576773310,-0.266357,-0.587585,0.656677,0.390564
1499894576795312,-0.266113,-0.587585,0.656738,0.390686
1499894576810312,-0.266113,-0.587585,0.656738,0.390686
1499894576833315,-0.266113,-0.587585,0.656738,0.390747
1499894576847314,-0.266113,-0.587524,0.656738,0.390747
1499894576870317,-0.266052,-0.587524,0.656738,0.390747
1499894576893318,-0.266052,-0.587585,0.656738,0.390747
1499894576907323,-0.266052,-0.587402,0.65686,0.390808
1499894576930319,-0.266174,-0.587219,0.65686,0.39093
1499894576953321,-0.266357,-0.587402,0.656738,0.390747
1499894576968322,-0.266357,-0.587402,0.656677,0.390808
1499894576990322,-0.266235,-0.58728,0.656799,0.39093
1499894577014324,-0.266113,-0.587219,0.65686,0.391052
1499894577027324,-0.266174,-0.58728,0.656738,0.390991
1499894577050328,-0.266357,-0.587402,0.656677,0.39093
1499894577073327,-0.266357,-0.587402,0.656677,0.39093
1499894577087329,-0.266357,-0.587402,0.656677,0.39093
1499894577110331,-0.266357,-0.587219,0.656738,0.390991
1499894577133334,-0.266541,-0.587036,0.656799,0.391052
1499894577154332,-0.266846,-0.587219,0.656555,0.390991
1499894577170335,-0.26709,-0.587402,0.656372,0.390869
1499894577193335,-0.267334,-0.587402,0.656372,0.390808
1499894577214339,-0.267273,-0.587402,0.656372,0.390808
1499894577230337,-0.267273,-0.587402,0.656372,0.390808
1499894577260341,-0.267273,-0.587402,0.656372,0.390808
1499894577274360,-0.267273,-0.587402,0.656372,0.390808
1499894577290341,-0.267273,-0.587402,0.656372,0.390808
1499894577313342,-0.267334,-0.587585,0.656189,0.390808
1499894577334341,-0.267334,-0.587585,0.656189,0.390808
1499894577350343,-0.267334,-0.587585,0.656189,0.390808
1499894577373345,-0.267334,-0.587585,0.656189,0.390808
1499894577394347,-0.267273,-0.587585,0.656189,0.390808
1499894577410347,-0.267273,-0.587585,0.656128,0.390808
1499894577433348,-0.267273,-0.587585,0.656128,0.390808
1499894577454354,-0.267273,-0.587585,0.656128,0.390808
1499894577470355,-0.267151,-0.587524,0.656189,0.390991
1499894577493352,-0.267151,-0.587524,0.656189,0.390991
1499894577514354,-0.267151,-0.587524,0.656189,0.390991
1499894577530355,-0.26709,-0.587524,0.656128,0.390991
1499894577553375,-0.26709,-0.587524,0.656128,0.391052
1499894577574358,-0.26709,-0.587524,0.656128,0.391052
1499894577590362,-0.267029,-0.587524,0.656128,0.391052
1499894577614364,-0.26709,-0.587708,0.656006,0.391113
1499894577635360,-0.26709,-0.587708,0.655945,0.391113
1499894577650360,-0.26709,-0.587708,0.655945,0.391113
1499894577673374,-0.267029,-0.587708,0.655945,0.391113
1499894577695364,-0.267029,-0.587769,0.655945,0.391174
1499894577709386,-0.267029,-0.587769,0.655945,0.391174
1499894577733382,-0.267029,-0.587769,0.655945,0.391174
1499894577756380,-0.267029,-0.587708,0.655945,0.391174
1499894577769408,-0.266968,-0.587769,0.655945,0.391174
1499894577799443,-0.266968,-0.587769,0.655884,0.391235
1499894577815372,-0.266968,-0.587769,0.655884,0.391235
1499894577829391,-0.266968,-0.587769,0.655884,0.391235
1499894577852380,-0.266907,-0.587769,0.655884,0.391235
1499894577875378,-0.266907,-0.587769,0.655884,0.391235
1499894577890394,-0.266907,-0.58783,0.655884,0.391296
1499894577913377,-0.266846,-0.587769,0.655884,0.391296
1499894577935377,-0.266968,-0.587952,0.655762,0.391235
1499894577950415,-0.266968,-0.588196,0.655518,0.391113
1499894577973385,-0.266968,-0.588257,0.655518,0.391113
1499894577995381,-0.266846,-0.588074,0.65564,0.391235
1499894578010407,-0.266846,-0.588074,0.65564,0.391235
1499894578033399,-0.266846,-0.588074,0.65564,0.391235
1499894578055386,-0.267029,-0.588196,0.655518,0.391174
1499894578069423,-0.267029,-0.588196,0.655518,0.391235
1499894578093392,-0.267029,-0.588196,0.655457,0.391174
1499894578115387,-0.267029,-0.588196,0.655457,0.391235
1499894578138390,-0.267029,-0.588196,0.655457,0.391235
1499894578153413,-0.267029,-0.588196,0.655457,0.391235
1499894578175391,-0.267029,-0.588196,0.655457,0.391235
