timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499893846876237,15,-14,-2,-60,-8,1,0,10
1499893846876237,-30,21,-19,-31,12,-3,-5,0
1499893846881289,-3,52,-6,75,-2,-2,-2,-39
1499893846881289,-21,-32,-16,-38,0,-8,-13,-5
1499893846882247,-6,-3,1,14,-10,-2,-1,-5
1499893846882247,14,11,10,2,-9,-1,5,6
1499893846883260,9,-9,0,-45,0,5,0,20
1499893846883260,19,31,8,11,4,4,3,3
1499893846884229,-6,45,6,16,5,0,-2,-16
1499893846884229,-7,-54,-6,28,-1,-4,2,13
1499893846888233,4,61,4,-31,0,5,3,16
1499893846888233,13,83,-20,23,-7,-6,-11,-12
1499893846903269,0,-58,0,3,3,2,6,38
1499893846903269,2,-8,-7,10,-2,-1,9,-39
1499893846909272,-19,-7,19,-8,6,-8,-14,-5
1499893846909272,-2,39,19,-24,-17,6,4,-3
1499893846917233,26,-3,-38,-31,-6,-4,-6,-7
1499893846917233,-33,-70,-18,-71,30,4,-4,8
1499893846939272,-15,-11,18,22,-8,0,-1,-50
1499893846939272,0,-8,4,-14,-7,-3,2,9
1499893846940237,1,12,1,70,-19,-9,3,20
1499893846940237,16,10,2,-10,-15,0,0,20
1499893846986302,7,43,9,31,22,4,12,26
1499893846986302,20,95,16,9,-24,-3,7,25
1499893846987234,-10,-5,-1,42,31,5,-9,-25
1499893846987234,60,35,9,-29,12,8,9,19
1499893846988272,-41,-23,-53,-8,-15,-13,-7,-21
1499893846988272,-9,9,11,-14,19,17,7,45
1499893846991300,18,73,30,24,-12,-2,12,22
1499893846991300,-23,-84,-15,37,-14,-10,-17,-28
1499893846998291,26,18,41,0,-10,3,4,-18
1499893846998291,-8,-44,-10,5,7,-7,-2,-3
1499893847007265,13,30,8,-38,18,3,6,44
1499893847007265,-26,-51,-32,-35,-13,-2,-9,-38
1499893847013256,27,51,-14,-15,-19,7,13,30
1499893847013256,-76,-120,-10,40,20,-12,-29,-91
1499893847028255,-15,-80,8,-29,-13,1,-2,29
1499893847028255,18,124,-1,33,2,-7,-1,-10
1499893847036257,-21,-68,-28,-110,4,0,-6,17
1499893847036257,12,49,-2,33,-19,-3,-6,-21
1499893847059279,26,-46,-16,-39,-13,3,9,-3
1499893847059279,23,44,-4,23,-48,-5,17,95
1499893847060252,-11,-59,-15,65,87,3,-16,-76
1499893847060252,10,-43,32,-42,15,8,-7,-31
1499893847082281,-23,-29,-9,55,1,1,4,-4
1499893847082281,-21,-2,-4,-34,-31,-7,-1,-11
1499893847083287,-2,3,-22,-13,-37,-4,10,33
1499893847083287,43,-19,-13,-3,13,1,7,52
1499893847097285,-18,-36,-8,44,13,-5,-19,-77
1499893847097285,-35,6,11,-17,-8,-3,-10,-28
1499893847098247,-22,-90,-8,4,-9,-9,-1,-4
1499893847098247,3,72,0,-20,0,4,13,-25
1499893847121246,-3,12,9,16,-6,-7,-20,-13
1499893847121246,11,3,-13,-20,29,12,7,43
1499893847121246,22,81,36,29,-7,-4,-14,-19
1499893847121246,-33,51,-19,-1,16,-13,-2,16
1499893847134279,2,41,18,8,-16,2,15,-5
1499893847134279,-41,15,25,-55,23,11,6,2
1499893847135251,6,-108,0,38,13,3,-3,-8
1499893847135251,17,102,-17,25,-35,-11,-9,-18
1499893847157251,-16,-34,-13,-27,-10,-2,8,-11
1499893847157251,16,37,12,46,1,-3,-11,-2
1499893847158246,12,95,11,-36,26,8,6,31
1499893847158246,3,-41,3,-43,-76,-6,-5,-2
1499893847179287,12,-7,-5,-38,58,-1,-5,-19
1499893847179287,-4,9,11,44,-6,-4,2,-23
1499893847180259,-12,-22,-15,-30,-26,-12,-10,-32
1499893847180259,6,-24,-2,6,10,4,6,24
1499893847194288,-14,31,-24,-31,-18,-7,-7,-14
1499893847194288,18,-39,9,-50,-3,-5,0,-31
1499893847195258,-27,43,0,26,-10,-3,-2,22
1499893847195258,-7,-5,-3,-4,6,1,8,-18
1499893847217262,0,31,9,9,-7,-7,-17,20
1499893847217262,9,-16,-29,45,38,3,4,27
1499893847217262,8,32,22,-32,-35,-1,-1,-35
1499893847217262,3,0,-5,37,18,3,8,32
1499893847239290,7,8,5,-9,-6,-4,-2,10
1499893847239290,6,-19,-8,-4,17,7,1,-11
1499893847240262,-27,-22,2,22,-6,-5,-4,2
1499893847240262,16,32,17,-5,18,6,7,20
1499893847256253,0,-68,-27,17,-18,0,4,18
1499893847256253,-22,-26,10,22,-2,-1,-14,-20
1499893847256253,15,20,-6,15,-4,0,7,4
1499893847256253,-6,9,-6,-78,3,-5,-11,3
1499893847277282,-1,-28,-20,60,-7,-7,-4,-4
1499893847277282,-10,30,-1,-26,-6,-2,-3,-4
1499893847277282,6,7,29,23,-3,2,3,16
1499893847277282,-8,24,-17,36,6,-5,-13,-13
1499893847299293,9,51,-10,-69,11,-1,9,16
1499893847299293,-10,-83,-21,12,-8,4,0,-5
1499893847300266,10,18,15,-23,6,-2,2,17
1499893847300266,-9,-54,-3,-13,-13,-1,-2,-29
1499893847316256,5,-7,9,-5,-13,-1,-3,13
1499893847316256,-1,14,10,24,11,-6,6,19
1499893847317257,-3,3,-16,-43,-19,-4,1,-5
1499893847317257,17,-3,-1,22,6,7,3,22
1499893847337283,-24,-22,-14,-9,25,1,-5,-14
1499893847337283,10,83,31,12,-1,-5,11,3
1499893847337283,16,-47,-22,0,-2,9,3,24
1499893847337283,0,-26,4,-6,-4,-3,0,-9
1499893847359300,-4,52,6,-18,-17,0,2,-1
1499893847359300,0,22,8,14,-7,-2,-2,1
1499893847360270,12,18,17,-8,6,1,13,42
1499893847360270,-11,-1,-6,7,15,1,-14,-38
1499893847376261,8,7,-3,6,-21,-2,-2,22
1499893847376261,2,56,26,-50,-16,-1,-4,-23
1499893847377259,-18,-41,-63,45,8,-3,-3,5
1499893847377259,14,-11,20,-20,-16,-2,4,30
1499893847397283,-16,1,3,12,3,2,-1,-18
1499893847397283,4,-2,0,4,19,2,3,12
1499893847397283,-7,2,31,52,1,-3,-10,-5
1499893847397283,-4,15,-17,-20,10,4,18,33
1499893847419301,11,-11,2,-15,-57,-3,-17,-35
1499893847419301,-5,-26,-12,29,21,0,2,19
1499893847420273,-13,1,5,-44,16,-1,-8,-27
1499893847420273,6,-22,-8,16,-5,-1,4,13
1499893847442302,7,43,21,-6,-7,-6,6,7
1499893847442302,-6,-5,-13,-3,-7,3,-9,-25
1499893847443301,2,28,-2,-11,-5,-1,3,22
1499893847443301,-7,3,3,-53,-9,-3,-2,-8
1499893847457289,5,19,4,25,27,4,18,55
1499893847457289,-18,-37,-10,-11,-23,-8,-36,-84
1499893847457289,13,-2,1,36,20,-3,-1,5
1499893847457289,-7,-9,3,-9,-14,2,-4,-2
1499893847479304,-1,-7,9,20,31,7,8,14
1499893847479304,0,21,-41,-54,-12,-3,1,-5
1499893847480277,-12,-32,0,-11,-19,-9,-13,-21
1499893847480277,-6,5,-8,24,14,7,-2,-10
1499893847494274,16,43,-4,-12,-2,-4,2,29
1499893847494274,10,11,33,49,-4,2,12,26
1499893847502329,0,-14,-5,6,-3,1,-8,-39
1499893847502329,-12,-38,-21,-40,0,-9,-14,-7
1499893847517272,6,4,2,1,2,2,1,-12
1499893847517272,6,48,13,1,17,4,6,14
1499893847517272,-4,-18,-20,4,-20,-6,-3,18
1499893847517272,4,26,5,26,10,1,5,-24
1499893847539307,-1,-21,1,-36,16,1,-8,-20
1499893847539307,1,-5,-20,-2,-2,-3,6,42
1499893847540280,-4,38,11,18,2,0,-10,-43
1499893847540280,1,-17,4,21,4,-1,3,5
1499893847554281,2,-47,-1,12,-34,-4,-6,-29
1499893847554281,0,-32,-26,-12,25,3,7,8
1499893847562288,1,55,15,-7,0,0,4,17
1499893847562288,0,-23,0,25,-20,-7,-3,1
1499893847577283,0,18,-5,9,10,3,-2,-18
1499893847577283,6,3,27,-14,-29,-1,4,33
1499893847577283,-9,-57,-20,-5,18,2,-3,-5
1499893847577283,-10,38,15,10,-15,-6,-2,-19
1499893847599311,-3,9,12,23,18,-2,5,18
1499893847599311,11,14,-14,9,-7,-5,-3,-14
1499893847600284,-4,-50,17,-14,-8,-1,-11,-2
1499893847600284,-16,-37,-4,8,-5,-3,2,13
1499893847614282,-1,8,14,15,-4,4,-7,-5
1499893847614282,-5,-12,-14,16,6,-4,-2,-1
1499893847622289,12,30,9,-12,8,2,6,13
1499893847622289,-4,-25,-28,-56,-17,-3,-1,2
1499893847637284,-9,3,-12,58,-34,-10,-2,-2
1499893847637284,-7,-25,-9,-88,6,1,-10,-5
1499893847637284,13,15,20,41,13,9,8,29
1499893847637284,-3,16,-1,-1,-13,-7,-4,-2
1499893847659314,7,12,-11,-6,38,6,10,17
1499893847659314,-11,-41,-3,21,-11,-8,-8,-32
1499893847660287,-4,15,-22,-19,4,-2,0,-15
1499893847660287,18,12,32,20,-14,3,1,8
1499893847674279,-12,-43,-41,-44,-3,-5,-3,0
1499893847674279,1,-9,15,14,9,-1,0,9
1499893847682278,-2,20,-1,-18,-12,2,2,-26
1499893847682278,9,8,7,16,9,-3,-12,-39
1499893847705340,-16,-35,4,3,-10,-3,-4,3
1499893847705340,2,15,5,-21,26,3,5,7
1499893847706277,4,-55,-20,-10,-34,-1,-1,-3
1499893847706277,-8,-3,-3,3,5,-3,1,6
1499893847719318,7,24,1,-33,14,6,-5,-12
1499893847719318,-12,-16,11,34,-15,0,7,37
1499893847720291,2,33,5,17,-9,-2,-14,-38
1499893847720291,4,13,-20,-19,5,-7,-8,28
1499893847734281,2,-9,2,-42,-8,1,-4,-31
1499893847734281,1,2,3,20,6,-1,-6,17
1499893847742290,-1,25,3,3,2,1,9,27
1499893847742290,1,0,4,5,-7,1,2,-3
1499893847757293,-8,8,5,-14,-15,-6,-1,-5
1499893847757293,23,45,6,7,-22,-1,3,5
1499893847757293,-7,26,24,-4,37,0,0,1
1499893847757293,9,-39,-13,9,-14,1,2,34
1499893847779322,-26,-52,-17,31,23,3,7,-51
1499893847779322,0,12,14,-20,-21,-9,-33,-22
1499893847780294,-5,-13,-16,-24,-12,-2,-4,-5
1499893847780294,-3,49,2,-10,23,5,3,5
1499893847794317,14,43,12,23,0,2,0,-11
1499893847794317,-3,-39,-7,10,10,3,9,3
1499893847801323,-13,-57,-24,-14,-24,-6,-9,-25
