timestamp,x,y,z
1499893846691219,1.6875,-1.875,9.375
1499893846706219,2.25,-2.125,10.0625
1499893846730260,8.625,-2.5,12.0625
1499893846751221,13.25,-2.1875,12.75
1499893846774261,9.125,0.4375,11
1499893846790260,4.875,2,9.625
1499893846811286,1.25,3.25,9
1499893846874268,-2.8125,1.125,7.875
1499893846875234,-2.6875,-1.4375,7.375
1499893846875234,1.125,-2.125,7.5625
1499893846887289,11.1875,-0.875,5.875
1499893846905268,7.5625,1.25,4.5625
1499893846924271,4.3125,3.5,3.6875
1499893846947247,-2.75,2.125,2.0625
1499893846976275,-16.3125,-0.9375,2.875
1499893846988272,-23.5,-1.5,2.1875
1499893847007265,-11.1875,1.375,1.625
1499893847021256,-4.75,3.8125,2.625
1499893847043259,-4.125,2.5625,1.25
1499893847066280,-10.75,1.125,-1.1875
1499893847084243,-14.5625,-1.25,-1.125
1499893847104254,-9.625,-2.375,-1.5625
1499893847126245,1,-0.0625,-0.5
1499893847141289,3,1.375,-1.9375
1499893847164258,-2.5,0.125,-2.1875
1499893847186261,-4.5625,-1,-1.4375
1499893847201288,-0.1875,-1.1875,-1.5625
1499893847224262,2.9375,0.75,-0.875
1499893847255295,0.75,1.25,-1.125
1499893847261296,-0.875,0.875,-1
1499893847284283,0,1.0625,-0.6875
1499893847315320,2.0625,1,-0.5625
1499893847321297,1.375,1.1875,0.1875
1499893847344268,-0.1875,1.5,-1.0625
1499893847375315,1.8125,1.375,-1
1499893847381297,-0.0625,1,-0.875
1499893847404272,-1.125,0.125,-1.375
1499893847426304,0.625,0.25,-1.875
1499893847444271,0.125,0.75,-1.75
1499893847464280,-0.0625,1.0625,-1.25
1499893847486308,0.3125,0.625,-0.875
1499893847503266,-1.1875,-0.25,-0.6875
1499893847524280,0.5625,0.25,0.3125
1499893847546312,0.75,-0.125,0.0625
1499893847562288,-0.5625,0.25,-0.0625
1499893847584279,-0.4375,0.3125,-0.125
1499893847606314,-0.5,-0.125,-0.375
1499893847623273,0,0.375,-0.0625
1499893847644284,-0.1875,0.3125,-0.625
1499893847666337,0.75,1.0625,-0.5
1499893847683285,-0.3125,1.0625,-0.375
1499893847706277,-1.75,1,-0.3125
1499893847726319,-1.5625,0.5,-0.125
1499893847742290,-0.5,0.625,0.4375
1499893847764305,0,0.9375,0.5625
1499893847786326,-0.6875,1.0625,0.5
1499893847809284,-1.1875,0.375,0.0625
1499893847824298,0.0625,0.5,-0.125
1499893847846299,-1.0625,0.8125,0.0625
1499893847864288,-0.75,0.4375,-0.3125
1499893847883288,1.3125,1,-0.5
1499893847906337,0.375,0.3125,-0.5
1499893847924291,-1.4375,-0.625,-0.5625
1499893847944296,-0.1875,-0.25,-0.125
1499893847966336,1.3125,-0.1875,-0.1875
1499893847984307,1.5625,-0.125,-0.1875
1499893848006297,0.25,-0.4375,-0.125
1499893848027306,0.5,-0.5,-0.1875
1499893848044299,1,-0.25,-0.1875
1499893848066303,0.875,0.0625,-0.6875
1499893848089303,0,0.125,-0.625
1499893848104301,0.3125,-0.1875,-0.6875
1499893848126303,0.1875,-0.3125,-0.375
1499893848150303,0.3125,0.0625,-0.1875
1499893848164305,1.0625,0.3125,0.0625
1499893848186316,-0.0625,0.625,-0.125
1499893848207308,0,0.0625,-0.125
1499893848224308,-0.0625,-0.1875,0
1499893848246311,-0.0625,-0.0625,-0.4375
1499893848267314,1,0.25,-0.1875
1499893848282311,0.375,0,-0.5625
1499893848306326,0.125,-0.3125,-0.1875
1499893848327330,0.625,-0.5,-0.1875
1499893848342316,1.25,-0.1875,-0.3125
1499893848366318,0.9375,0.5,-0.3125
1499893848388317,-0.1875,0.125,-0.5625
1499893848402338,-0.25,0,-0.0625
1499893848426321,0.5625,0.375,0.125
1499893848448320,0.5,0,0.5625
1499893848469364,-0.375,0.1875,0.5
1499893848486325,0.625,0.0625,0.25
1499893848508334,0.375,-0.0625,0.1875
1499893848522344,-0.125,0.1875,0
1499893848546346,-0.125,0.0625,-0.25
1499893848568340,-0.25,-0.25,-0.0625
1499893848589368,-0.25,-0.0625,-0.1875
1499893848606344,-0.25,0,0.0625
1499893848628330,1.5,0.3125,0.25
1499893848642347,0.75,0.25,0.1875
1499893848666344,-0.625,0.0625,0.25
1499893848688334,-0.6875,-0.0625,0.4375
1499893848702353,0.125,0.375,0.125
1499893848726339,-0.375,0.1875,0
1499893848748338,-0.4375,0.5,-0.1875
1499893848762355,-0.3125,0.6875,-0.125
1499893848786341,-0.3125,0.625,-0.0625
1499893848808342,-0.0625,0.25,-0.1875
1499893848822360,0.0625,0,-0.5
1499893848846343,-0.4375,0.0625,-0.1875
1499893848868356,-0.0625,-0.1875,-0.25
1499893848889346,0.375,-0.4375,-0.3125
1499893848906348,0.4375,-0.4375,-0.1875
1499893848928348,-0.1875,-0.9375,-0.4375
1499893848949391,-0.75,-0.75,-0.0625
1499893848966353,0.4375,-0.4375,-0.375
1499893848988352,0.1875,0.1875,-0.3125
1499893849009396,0.1875,0.3125,-0.5
1499893849026355,-1.25,0.625,-0.125
1499893849048355,-1.125,0.5,-0.5625
1499893849069399,-0.75,1,-0.5
1499893849086359,-0.6875,1.25,-0.5625
1499893849108370,-1.0625,1.0625,-0.625
1499893849129399,-1,0.6875,-0.4375
1499893849146362,-0.6875,0.375,-0.5625
1499893849168374,0.625,0.5625,-0.25
1499893849189403,0.25,0.3125,-0.3125
1499893849206366,-0.9375,-0.0625,-0.4375
1499893849228367,-0.75,-0.1875,-0.6875
1499893849249369,-0.0625,-0.3125,-0.0625
1499893849266368,0.125,-0.625,-0.0625
1499893849288371,0.0625,-0.375,-0.1875
1499893849310371,0.0625,-0.5,-0.5625
1499893849326373,-1.3125,-0.5,-0.625
1499893849348380,-0.25,-0.375,-0.5
1499893849370408,0.625,-0.3125,0
1499893849386377,-0.1875,-0.1875,0.125
1499893849408378,-0.4375,-0.1875,0.1875
1499893849431389,0.25,0,0.4375
1499893849445380,0.125,-0.1875,0
1499893849468385,-0.125,0.0625,-0.0625
1499893849490444,-0.0625,-0.25,-0.3125
1499893849505383,-1.25,-0.0625,-0.1875
1499893849528420,-1.125,-0.25,-0.125
1499893849551386,0.0625,-0.25,0.0625
1499893849565387,0.75,-0.0625,0.125
1499893849588400,-0.3125,0.1875,0.125
1499893849610444,-0.6875,-0.0625,0
1499893849625400,-0.5625,0.125,0.1875
1499893849649405,-1.625,-0.3125,0.0625
1499893849671404,-0.0625,0.3125,0.1875
1499893849685426,-0.1875,0.75,-0.0625
1499893849708405,-0.9375,0.6875,-0.25
1499893849731394,-0.6875,0.375,0
1499893849745398,-0.25,0,-0.25
1499893849768409,-0.5625,0.125,-0.5
1499893849791398,0,-0.125,-0.5
1499893849812426,-0.25,-0.375,-0.1875
1499893849828412,0.5,-0.5,-0.5
1499893849851402,0.75,-0.6875,-0.25
1499893849872430,-0.125,-0.9375,-0.5
1499893849888416,0.375,-0.9375,-0.5
1499893849910416,0.0625,-0.875,-0.4375
1499893849932418,0.125,-0.625,-0.4375
1499893849948420,0.5,-0.5,-0.1875
1499893849970444,0.625,-0.6875,-0.25
1499893849992442,-0.25,-0.5625,0
1499893850008424,-0.75,-0.0625,-0.375
1499893850030455,0.0625,-0.125,-0.0625
1499893850052444,0.375,0.25,0
1499893850068438,0.125,0.3125,0.125
1499893850090455,-1.125,0.3125,-0.0625
1499893850112442,-0.75,0.5,-0.3125
1499893850128430,0,0.125,0
1499893850150456,0.125,-0.0625,0.125
1499893850172444,-0.1875,0.0625,0.3125
1499893850188434,0.6875,-0.0625,-0.125
