timestamp,x,y,z,w
1499879083965831,-0.398926,-0.253967,-0.0718384,0.878174
1499879083980833,-0.399353,-0.254333,-0.0717163,0.877869
1499879084004850,-0.399048,-0.254395,-0.0714111,0.878052
1499879084025833,-0.398682,-0.254578,-0.071228,0.878174
1499879084040831,-0.39856,-0.254822,-0.071106,0.878174
1499879084064906,-0.398071,-0.255188,-0.0709839,0.878296
1499879084085881,-0.397644,-0.255676,-0.0707397,0.878357
1499879084133906,-0.397095,-0.255981,-0.0703125,0.87854
1499879084134837,-0.396179,-0.25592,-0.0701904,0.878967
1499879084146852,-0.393311,-0.256165,-0.0701904,0.880188
1499879084160881,-0.390686,-0.256287,-0.0698853,0.881348
1499879084185880,-0.388855,-0.255859,-0.0693359,0.882324
1499879084208856,-0.388428,-0.255249,-0.0691528,0.88269
1499879084243854,-0.388855,-0.254089,-0.0692139,0.882874
1499879084253909,-0.389526,-0.252197,-0.0697632,0.883057
1499879084266900,-0.389343,-0.250305,-0.0691528,0.883728
1499879084280886,-0.387085,-0.249146,-0.0667725,0.885193
1499879084303890,-0.3797,-0.24823,-0.0631104,0.888916
1499879084327852,-0.373657,-0.246948,-0.0622559,0.891907
1499879084348911,-0.377502,-0.2453,-0.0648193,0.890564
1499879084365853,-0.386658,-0.244507,-0.0661011,0.886719
1499879084387899,-0.38916,-0.2453,-0.0657349,0.885437
1499879084408921,-0.386169,-0.246216,-0.0647583,0.886597
1499879084425861,-0.384583,-0.245972,-0.0651245,0.887329
1499879084447894,-0.388611,-0.245605,-0.0665894,0.885559
1499879084468902,-0.393005,-0.244934,-0.0668335,0.883789
1499879084485874,-0.393738,-0.244568,-0.0669556,0.883545
1499879084507868,-0.393127,-0.244446,-0.0671387,0.88385
1499879084528903,-0.393677,-0.244324,-0.0675659,0.883606
1499879084545865,-0.394226,-0.244202,-0.0681152,0.883362
1499879084567906,-0.394287,-0.244263,-0.0687256,0.88324
1499879084582873,-0.39447,-0.24408,-0.0690918,0.883179
1499879084605867,-0.39447,-0.243958,-0.0692749,0.88324
1499879084627904,-0.394775,-0.243896,-0.069458,0.883118
1499879084648869,-0.394775,-0.243835,-0.069458,0.883057
1499879084665873,-0.39447,-0.243652,-0.0692749,0.883301
1499879084687907,-0.394531,-0.24353,-0.0689697,0.883301
1499879084708917,-0.395081,-0.243347,-0.0686646,0.883179
1499879084725878,-0.395447,-0.242981,-0.0684204,0.883118
1499879084747913,-0.395691,-0.242798,-0.0681763,0.883057
1499879084768920,-0.39563,-0.242615,-0.067749,0.883179
1499879084785880,-0.395325,-0.242493,-0.0673828,0.883362
1499879084807911,-0.395325,-0.242371,-0.0671997,0.883423
1499879084828949,-0.395691,-0.242188,-0.0670776,0.883362
1499879084845915,-0.395752,-0.242188,-0.0668335,0.883301
1499879084867896,-0.395752,-0.242249,-0.0664673,0.883301
1499879084890887,-0.39563,-0.242126,-0.0662842,0.883423
1499879084905886,-0.396057,-0.241943,-0.0662842,0.883301
1499879084927918,-0.396545,-0.24176,-0.0662231,0.883118
1499879084948931,-0.39679,-0.24176,-0.0661011,0.882996
1499879084965900,-0.39679,-0.24176,-0.0661011,0.883057
1499879084987927,-0.396484,-0.241882,-0.0658569,0.883118
