timestamp,roll,pitch,yaw
1499875460922262,-0.837826,-0.393947,-0.0538737
1499875460938263,-0.83342,-0.385107,-0.045876
1499875460961266,-0.830554,-0.374287,-0.0429772
1499875460984265,-0.83737,-0.364372,-0.0386367
1499875460998268,-0.848629,-0.355798,-0.0301264
1499875461021271,-0.841883,-0.346841,-0.0200732
1499875461045269,-0.824854,-0.34044,-0.0162825
1499875461065271,-0.817477,-0.337442,-0.0157326
1499875461081276,-0.823624,-0.336864,-0.0157503
1499875461104277,-0.826818,-0.336941,-0.0153236
1499875461118274,-0.824066,-0.33763,-0.0152304
1499875461141282,-0.820205,-0.338032,-0.0150236
1499875461164276,-0.818589,-0.338632,-0.0151624
1499875461178279,-0.818695,-0.33993,-0.0159439
1499875461201278,-0.815809,-0.34108,-0.0182211
1499875461225280,-0.812696,-0.342687,-0.0212957
1499875461238282,-0.811116,-0.344045,-0.0247589
1499875461261282,-0.80917,-0.345354,-0.0278927
1499875461284282,-0.807679,-0.34657,-0.0307248
1499875461298285,-0.807454,-0.347486,-0.0332118
1499875461321285,-0.807294,-0.348162,-0.0360639
1499875461344287,-0.807135,-0.349272,-0.0389954
1499875461358288,-0.80598,-0.349813,-0.042071
1499875461381289,-0.806798,-0.350125,-0.0444973
1499875461404291,-0.807787,-0.350014,-0.0465282
1499875461418291,-0.808715,-0.350036,-0.0475975
1499875461441294,-0.808138,-0.349805,-0.0484553
1499875461464304,-0.807381,-0.349989,-0.0490502
1499875461485304,-0.806872,-0.34989,-0.0495734
1499875461501296,-0.80902,-0.349038,-0.0492957
1499875461524298,-0.809525,-0.348162,-0.0493234
1499875461545318,-0.808705,-0.347716,-0.0493965
1499875461561303,-0.809637,-0.346903,-0.0491759
1499875461584301,-0.810348,-0.34627,-0.0487903
1499875461605301,-0.811145,-0.345562,-0.0485415
1499875461621301,-0.811145,-0.345562,-0.0485415
1499875461644323,-0.811308,-0.344921,-0.0482572
1499875461665319,-0.811021,-0.344581,-0.0481689
1499875461689306,-0.810957,-0.344401,-0.0486818
1499875461704307,-0.811419,-0.34416,-0.0489651
1499875461725311,-0.810759,-0.344004,-0.0496843
1499875461741311,-0.811382,-0.343942,-0.0500178
1499875461764326,-0.810977,-0.343673,-0.0507359
1499875461785312,-0.810151,-0.343555,-0.0515921
1499875461801314,-0.80975,-0.343888,-0.0524576
1499875461824316,-0.809088,-0.344164,-0.0532551
1499875461845333,-0.808582,-0.344066,-0.0537762
1499875461861316,-0.807693,-0.343703,-0.0543689
1499875461890318,-0.807081,-0.343561,-0.0548023
1499875461906319,-0.807077,-0.343456,-0.0555087
1499875461921321,-0.806148,-0.343894,-0.0564264
1499875461944323,-0.805623,-0.344063,-0.0572541
1499875461966323,-0.804945,-0.343834,-0.0578423
1499875461981325,-0.805417,-0.343714,-0.0583733
1499875462004326,-0.805584,-0.343676,-0.058236
1499875462026325,-0.805327,-0.343682,-0.0589438
