timestamp,x,y,z
1499877244992492,0.347168,-0.561035,0.455566
1499877245015498,0.405762,-0.36377,0.506348
1499877245031493,0.449219,-0.661621,0.521973
1499877245054494,0.429688,-0.859375,0.608398
1499877245075515,0.413574,-0.625488,0.539063
1499877245090534,0.455566,-0.629883,0.486816
1499877245114498,0.467285,-0.750977,0.489258
1499877245135544,0.433594,-0.742188,0.547363
1499877245183540,0.435059,-0.612793,0.536621
1499877245185539,0.477051,-0.67627,0.496094
1499877245197546,0.445801,-0.743164,0.481934
1499877245211549,0.419922,-0.71582,0.470215
1499877245233568,0.413086,-0.741211,0.520996
1499877245260544,0.426758,-0.696777,0.543457
1499877245309537,0.438965,-0.711914,0.521484
1499877245310520,0.443359,-0.717773,0.499023
1499877245317533,0.410156,-0.737305,0.501953
1499877245330530,0.417969,-0.719238,0.513184
1499877245353531,0.418945,-0.702148,0.515625
1499877245375536,0.437012,-0.729492,0.500488
1499877245390560,0.426758,-0.732422,0.500488
1499877245412558,0.42627,-0.713379,0.503418
1499877245435552,0.422852,-0.70752,0.513184
1499877245450563,0.433105,-0.703613,0.503906
1499877245472560,0.422363,-0.706055,0.5
1499877245495555,0.41748,-0.707031,0.497559
1499877245510572,0.429199,-0.708984,0.508301
1499877245532570,0.429199,-0.713379,0.508789
1499877245555559,0.421387,-0.705566,0.507324
1499877245570568,0.421875,-0.70752,0.502441
1499877245592544,0.434082,-0.708496,0.503906
1499877245615574,0.428711,-0.68457,0.51416
1499877245630569,0.431152,-0.704102,0.512695
1499877245652568,0.424805,-0.700195,0.512207
1499877245675603,0.435059,-0.689941,0.506348
1499877245690599,0.433105,-0.695801,0.512695
1499877245712574,0.430176,-0.697754,0.506348
1499877245735599,0.42334,-0.703125,0.523438
1499877245750579,0.428223,-0.697266,0.523926
1499877245772585,0.429199,-0.720215,0.521484
1499877245795584,0.425293,-0.728516,0.521973
1499877245810581,0.422363,-0.708496,0.51709
1499877245832580,0.418945,-0.702637,0.510742
1499877245855608,0.429199,-0.70166,0.517578
1499877245870546,0.422363,-0.698242,0.516602
1499877245892579,0.429688,-0.711914,0.516113
1499877245915593,0.417969,-0.733887,0.520508
1499877245931573,0.41748,-0.708008,0.513184
1499877245952554,0.421387,-0.692871,0.516113
1499877245975590,0.427246,-0.696289,0.498535
1499877245991552,0.42334,-0.69873,0.509766
1499877246012593,0.422852,-0.711426,0.518066
1499877246035627,0.419922,-0.70459,0.526367
1499877246051577,0.432129,-0.713379,0.516602
1499877246072596,0.424805,-0.707031,0.516602
1499877246095625,0.436035,-0.680176,0.515625
