timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499877354353346,-28,-4,6,-4,-6,-2,97,-12
1499877354353346,-24,-9,-6,-5,-2,6,-105,-43
1499877354359385,87,7,15,12,-1,1,-3,71
1499877354359385,-49,-6,-7,-6,0,1,9,-20
1499877354361385,-34,17,2,1,-8,-9,71,-42
1499877354361385,-16,5,-7,-11,-6,-6,109,-13
1499877354362385,-15,-18,-4,-7,-2,-13,-78,6
1499877354362385,12,-4,-7,5,-4,-3,-64,-29
1499877354365362,-2,4,4,6,5,-1,-16,110
1499877354365362,29,-3,2,2,4,6,-33,66
1499877354373369,-14,-16,-8,3,0,2,-4,-46
1499877354373369,37,-1,-15,-2,1,5,65,17
1499877354388369,-12,-12,-8,5,3,0,-61,-13
1499877354388369,-1,-3,-5,0,-7,-4,-46,-15
1499877354394415,0,7,-19,9,6,4,77,-38
1499877354394415,-54,5,12,-47,-12,-12,-50,-46
1499877354403369,46,10,14,18,8,12,99,61
1499877354403369,-31,5,8,43,-1,-9,-48,-58
1499877354425394,-29,-11,31,0,11,7,-9,35
1499877354425394,-10,-14,-4,-1,-10,-1,-7,84
1499877354426350,39,-8,-5,-91,-9,-5,-70,56
1499877354426350,47,12,20,8,3,4,91,17
1499877354473375,-20,6,12,15,1,2,-34,38
1499877354473375,-9,-9,16,7,1,2,35,26
1499877354474373,42,6,13,15,2,-4,-17,36
1499877354474373,14,-7,5,2,1,-8,-117,22
1499877354477410,-66,0,-14,-14,-13,13,116,-33
1499877354477410,-40,-3,-20,-2,-6,-8,-104,-68
1499877354478391,-13,-12,1,-2,0,1,-32,-25
1499877354478391,-9,-2,-8,-1,-3,-2,-5,11
1499877354485366,33,4,10,15,6,0,-29,1
1499877354485366,-2,0,-10,3,10,1,67,-59
1499877354491415,-10,-9,3,12,-10,-1,70,-12
1499877354491415,0,-2,-15,1,-1,-5,-17,-38
1499877354499416,-2,-10,0,-15,-12,-8,-3,4
1499877354499416,9,14,-19,-27,-3,-5,-47,17
1499877354514394,-12,3,-2,13,13,6,13,17
1499877354514394,3,-2,4,1,-7,1,-14,-36
1499877354521421,-1,-4,-11,9,-2,-4,1,2
1499877354521421,-5,-4,-9,-17,-10,-5,35,-27
1499877354545419,-14,-2,-4,-12,6,1,-8,18
1499877354545419,21,7,4,30,7,0,11,-4
1499877354546357,-6,-5,-6,-15,4,5,-31,7
1499877354546357,16,-5,-1,2,-7,1,-13,44
1499877354559415,21,12,11,-2,-7,-7,-6,9
1499877354559415,-34,-1,9,-10,-1,-1,15,-46
1499877354560358,26,2,0,-6,5,-2,12,55
1499877354560358,-10,0,18,20,7,7,13,-28
1499877354582396,20,-8,-21,-5,-4,-4,17,-40
1499877354582396,-25,9,3,-6,1,-1,-21,0
1499877354583398,17,-1,2,1,-2,-7,-7,-17
1499877354583398,18,1,-1,-1,-4,0,17,46
1499877354605429,-9,-1,-10,-6,1,1,-12,11
1499877354605429,5,-4,1,11,0,5,39,37
1499877354606361,-25,-6,-9,-34,-8,-9,-15,-15
1499877354606361,-35,-3,4,-2,0,-4,16,-94
1499877354620391,-5,-1,7,-11,-2,-5,-77,-68
1499877354620391,21,1,-4,9,7,0,50,1
1499877354620391,-13,0,-2,25,6,-2,-47,-21
1499877354620391,14,2,0,-5,-13,3,25,-6
1499877354643385,-3,-2,-10,-24,-10,1,13,21
1499877354643385,-16,-1,-1,5,1,5,6,-56
1499877354644364,22,3,7,5,1,-1,-24,-115
1499877354644364,1,-5,6,1,11,0,0,81
1499877354665379,1,2,-1,41,-2,1,-6,22
1499877354665379,-2,-15,2,-52,-17,-14,-38,-26
1499877354666368,60,-8,-10,-1,-2,-1,61,87
1499877354666368,-40,-3,-2,-2,-2,-12,-65,-47
1499877354679413,-5,-1,-9,-30,-7,3,-11,-29
1499877354679413,12,3,-12,7,1,-3,-14,5
1499877354680372,14,-1,-1,6,3,-5,3,71
1499877354680372,16,0,8,10,4,7,18,11
1499877354702408,-34,-3,10,16,1,-5,-14,-3
1499877354702408,3,2,-9,-8,-6,1,-33,16
1499877354703369,-2,7,4,-6,-2,6,65,34
1499877354703369,27,2,8,11,2,3,-11,32
1499877354725445,-20,4,4,14,3,-11,-52,-5
1499877354725445,-12,-5,-1,-24,-7,10,81,-5
1499877354726371,-29,-3,2,-11,-2,-5,-68,-34
1499877354726371,-16,-5,-3,-5,-12,-4,44,-37
1499877354740403,22,6,11,23,4,3,26,-18
1499877354740403,-14,2,-7,-28,3,-2,30,41
1499877354740403,-16,-1,-8,5,6,5,-31,-83
1499877354740403,15,2,15,5,-4,-3,-25,2
1499877354762412,-4,-6,-5,-33,-9,-6,-38,-35
1499877354762412,11,1,-7,-5,-1,0,49,42
1499877354763372,-7,-1,-2,3,3,2,-21,-70
1499877354763372,-7,3,9,4,6,0,1,-18
1499877354785437,3,0,4,7,4,7,8,2
1499877354785437,-7,-3,0,12,-6,-8,-9,-47
1499877354786374,20,0,-1,0,3,2,-4,106
1499877354786374,6,9,-2,12,4,3,38,27
1499877354799442,-1,-4,1,0,-3,-3,24,-17
