timestamp,x,y,z
1499877305419543,0.9375,1.25,0.0625
1499877305436540,0,1.8125,0.3125
1499877305457532,2.0625,4.25,-2.1875
1499877305480533,10.9375,10.5625,-8.3125
1499877305495548,16.875,18.6875,-12.375
1499877305517583,3,23.1875,-13.0625
1499877305540604,-28.3125,24.4375,-12.0625
1499877305570599,-48.3125,21.875,-7
1499877305579539,-35.75,16.8125,-3.1875
1499877305587580,-9.8125,18.5,-7.375
1499877305607579,-6.4375,18.8125,-9.875
1499877305623552,-1.625,12.625,-10.9375
1499877305653611,1.8125,8.4375,-8.3125
1499877305707600,-0.5,9.75,-6.5
1499877305708547,-7.4375,11.5,-9.625
1499877305708547,-1.75,14.1875,-11.875
1499877305727608,-2.4375,12.8125,-10.875
1499877305742583,-5.6875,7.875,-5.25
1499877305764592,-4.5,6.125,-2.375
1499877305787615,-2.75,8,-4.0625
1499877305803559,-2.125,9,-6.0625
1499877305824621,-2.625,7.875,-4
1499877305847619,-5,5.6875,0.4375
1499877305862585,-7.4375,4.25,3.125
1499877305884614,-7.125,5.4375,0.4375
1499877305907617,-1.5,7.125,-4.25
1499877305922558,-0.1875,6.5,-6.25
1499877305944594,1.5,3.8125,-1.75
1499877305967577,2.125,0.8125,2.1875
1499877305983566,-0.5,1.75,-0.5
1499877306004610,-3.5625,3,-4.25
1499877306027608,0.75,2.9375,-5.3125
1499877306043567,0.75,1.6875,-4.875
1499877306064613,-0.25,0.8125,-1.3125
1499877306087599,-0.8125,-0.3125,-1.3125
1499877306103604,-4,-0.1875,-4
1499877306124616,-8.0625,-0.625,-5.8125
1499877306147576,-3.75,-1.5625,-3.6875
1499877306163592,0.5,-2.1875,-1
1499877306184653,-5.75,-3.125,1.375
1499877306207577,-8.75,-2.375,1.1875
1499877306223604,-3.3125,-2.1875,2.125
1499877306244623,1.375,-2.25,4.1875
1499877306267600,4.6875,-1.125,3.6875
1499877306283596,-1.75,-1.0625,4.1875
1499877306307593,-2.375,-1.9375,2.9375
1499877306327627,1.25,-1.8125,3.1875
1499877306343603,2.8125,-2.1875,2.625
1499877306364628,4.9375,-0.75,2.125
1499877306387627,2.25,-0.875,0.625
1499877306405605,-3.3125,-1.625,1
1499877306424601,-1.25,-1.8125,2.125
1499877306447635,1.5,-1.6875,2
1499877306465600,2.8125,-0.75,0.75
1499877306484662,2,0.375,0.75
1499877306507626,-2.875,-0.6875,0.875
1499877306525604,-4.75,-0.8125,0
1499877306544637,-4.625,-0.25,-0.125
1499877306567625,-3.75,-0.0625,0.375
1499877306585609,1.5,1.1875,0.75
1499877306604599,1.125,1.5625,0.5
1499877306627624,-4.125,0.6875,0.375
1499877306645605,-4.125,0.5,0.125
1499877306664647,0.6875,0.9375,-0.125
1499877306688605,3.4375,1.3125,0.25
1499877306705644,0.1875,0.5625,0.5625
1499877306727608,-1.5625,-0.0625,0.75
1499877306748609,-0.375,-0.125,0
1499877306765621,1.5625,-0.1875,0.125
1499877306787619,2.6875,-0.375,0.5
1499877306810631,1.5625,-0.625,1.5
1499877306829658,0,-1.4375,2
1499877306847638,0.375,-1.3125,1
1499877306868618,-0.8125,-0.75,-0.0625
1499877306889663,0.1875,-1,0.25
1499877306907633,2.6875,-1.3125,0.9375
1499877306930619,1.375,-1.625,1.375
1499877306949626,0.375,-1.5,1.5
1499877306967624,1.1875,-1.75,0.75
1499877306990634,0.5625,-1.9375,0.625
1499877307009696,0.0625,-1.9375,0.4375
1499877307027625,1,-1.3125,0.0625
1499877307049635,1.4375,-1.25,-0.0625
1499877307069701,-1.0625,-1.75,0.3125
1499877307087628,-1.125,-1.625,0.25
1499877307109655,0.5,-0.9375,0.125
