timestamp,x,y,z,w
1499877186995975,-0.452271,-0.12915,-0.289124,0.833801
1499877187017976,-0.452332,-0.128784,-0.289612,0.833618
1499877187034978,-0.452332,-0.128357,-0.289856,0.833618
1499877187055980,-0.452576,-0.12793,-0.289917,0.833496
1499877187079985,-0.452942,-0.127563,-0.289856,0.833435
1499877187085994,-0.451843,-0.127563,-0.289673,0.834106
1499877187100996,-0.449463,-0.127991,-0.289795,0.835205
1499877187125019,-0.44751,-0.127747,-0.290161,0.836182
1499877187170994,-0.445984,-0.126587,-0.291382,0.836731
1499877187172997,-0.44397,-0.124512,-0.294434,0.837097
1499877187185007,-0.443298,-0.121399,-0.299255,0.836182
1499877187207005,-0.44635,-0.11676,-0.303406,0.833679
1499877187223000,-0.450134,-0.11145,-0.305969,0.831482
1499877187252012,-0.448792,-0.107117,-0.30896,0.831665
1499877187306014,-0.447327,-0.102722,-0.312195,0.831787
1499877187307003,-0.450317,-0.0969238,-0.315796,0.829529
1499877187308996,-0.459229,-0.0931396,-0.31543,0.825195
1499877187327010,-0.466003,-0.0916748,-0.312805,0.822571
1499877187341045,-0.464661,-0.0917969,-0.311829,0.823669
1499877187364005,-0.459473,-0.0935059,-0.315857,0.824829
1499877187386043,-0.461548,-0.0929565,-0.320618,0.821899
1499877187401009,-0.464966,-0.0924683,-0.322998,0.819092
1499877187424025,-0.464233,-0.0928955,-0.323242,0.819397
1499877187446054,-0.463501,-0.0932007,-0.323425,0.819641
1499877187461017,-0.465759,-0.0925903,-0.323792,0.818359
1499877187484031,-0.467712,-0.0917969,-0.324097,0.8172
1499877187506046,-0.468079,-0.0914917,-0.324524,0.816833
1499877187521052,-0.467407,-0.0914307,-0.325134,0.816956
1499877187544031,-0.467407,-0.0911255,-0.325256,0.816956
1499877187566075,-0.467041,-0.0910034,-0.325256,0.8172
1499877187581078,-0.46637,-0.0904541,-0.324768,0.81781
1499877187604030,-0.466431,-0.0897217,-0.32428,0.818054
1499877187626056,-0.467163,-0.0889282,-0.323975,0.817871
1499877187641058,-0.467041,-0.0883179,-0.324341,0.81781
1499877187664041,-0.465942,-0.0881958,-0.325073,0.818176
1499877187686086,-0.465515,-0.0878296,-0.325745,0.818237
1499877187701062,-0.46582,-0.0872192,-0.325989,0.818054
1499877187724026,-0.465454,-0.086731,-0.32605,0.818237
1499877187746094,-0.464722,-0.0866089,-0.326416,0.818542
1499877187762046,-0.464539,-0.0862427,-0.326599,0.818604
1499877187784022,-0.464966,-0.0857544,-0.326721,0.818359
