timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499878376159134,-4,-8,-2,101,-2,-7,-2,-3
1499878376159134,0,2,3,-41,3,3,-1,-1
1499878376160089,1,0,-54,54,-1,6,8,2
1499878376160089,-2,3,84,-35,-4,-6,-8,-4
1499878376161060,-6,-13,-54,-77,-29,-12,0,-1
1499878376161060,4,3,-6,36,16,3,-15,-3
1499878376164098,-9,-14,16,-7,-27,-17,-4,-5
1499878376164098,7,14,-40,74,23,17,13,9
1499878376172106,-3,-2,53,13,-6,-1,-4,3
1499878376172106,1,4,-27,36,11,2,7,0
1499878376180100,11,15,50,-124,7,12,-8,7
1499878376180100,-4,-14,-7,41,0,-12,8,-8
1499878376186111,-3,-11,-13,-88,-21,-20,-14,-24
1499878376186111,-9,-3,-56,-96,-15,8,-14,31
1499878376201082,-4,2,28,-23,24,1,14,-3
1499878376201082,-3,-5,-35,44,2,0,0,22
1499878376210063,11,24,-12,127,32,19,4,-12
1499878376210063,-17,-13,36,-127,-52,-19,0,-15
1499878376225065,16,8,-44,119,20,6,-9,-2
1499878376225065,2,-4,7,103,4,-3,-5,19
1499878376232106,-1,-3,-6,-72,-33,3,8,-13
1499878376232106,3,14,57,43,6,-10,-4,-14
1499878376246106,-18,-18,-58,124,8,-7,-4,-17
1499878376246106,-6,-18,-53,-108,-65,-18,-15,-30
1499878376288068,3,-10,29,11,-2,4,-2,4
1499878376288068,-16,14,62,-104,-13,-3,-2,-7
1499878376289093,5,8,41,73,12,6,4,-15
1499878376289093,-3,-18,-94,97,-1,-2,2,20
1499878376292107,-8,-1,42,34,6,-11,-44,14
1499878376292107,-4,-28,-16,21,-11,-10,41,7
1499878376293087,5,3,9,36,-5,-1,-7,-12
1499878376293087,22,22,28,-18,12,11,13,-1
1499878376298088,12,8,-2,77,17,-10,-10,-11
1499878376298088,-10,-10,-84,-34,-24,-12,-17,-24
1499878376306088,-11,-14,-31,-21,-12,3,7,12
1499878376306088,11,12,22,49,-8,2,13,-10
1499878376315075,-13,6,28,-54,-8,4,-4,0
1499878376315075,25,19,85,82,9,1,-9,9
1499878376328113,4,18,55,-4,-12,-1,10,4
1499878376328113,-4,-32,-81,-79,-55,0,-9,-15
1499878376337115,-20,-20,2,-67,-11,-14,3,-9
1499878376337115,6,30,127,127,40,15,1,9
1499878376360108,-15,-28,-80,-23,-6,2,-1,-3
1499878376360108,-4,-5,52,68,11,-14,-21,1
1499878376362076,7,18,1,-10,-7,1,14,4
1499878376362076,-9,-50,-128,-128,-42,-5,-3,17
1499878376374095,-5,2,20,58,5,-11,-10,-14
1499878376374095,17,0,-19,26,45,6,2,8
1499878376383077,7,7,12,-38,-39,-3,6,-33
