timestamp,x,y,z
1499878491227052,7.5625,-8.9375,8.5
1499878491250072,-22.625,9.5625,4.8125
1499878491273062,-29,29.3125,-5.5625
1499878491296070,-14.1875,36.6875,1.8125
1499878491311055,-25.3125,33.125,5.5625
1499878491333094,-45.875,29.0625,-0.375
1499878491356059,-26.75,29.0625,-5.6875
1499878491374078,-12.1875,26.5625,-10.0625
1499878491424104,-19.375,22.875,-10.8125
1499878491425097,-21.0625,19.125,-6.375
1499878491436063,-21.4375,16.25,-2.875
1499878491454068,-15.75,12.875,-3.0625
1499878491476091,-7.0625,9.5,-5.375
1499878491499085,-0.4375,8.8125,-5.625
1499878491535124,3.5,8.8125,-2.8125
1499878491552133,-4.0625,6.5,-0.875
1499878491559079,-8.375,2.1875,-1.6875
1499878491573109,-5,4.25,-3.25
1499878491595110,-0.5625,4.4375,-1
1499878491619117,0.0625,4.125,1.125
1499878491634100,-3.3125,3.75,1.875
1499878491657080,-4.0625,5,1.0625
1499878491679090,-2.6875,5,2.5
1499878491694090,1.25,4.1875,3.0625
1499878491717100,-3.6875,3.4375,2.9375
1499878491739093,-2.9375,1.625,2.1875
1499878491754101,3.125,2.625,0.9375
1499878491777100,3.5625,3.5,1.375
1499878491799106,0.125,2.5625,2.3125
1499878491814100,-2.6875,1.75,2.125
1499878491844152,-1.25,0.8125,0.75
1499878491859129,-0.4375,0.5625,-0.4375
1499878491874123,0.4375,0.375,-0.5
1499878491897112,1.125,0.125,0.0625
1499878491925115,2.625,-0.4375,0.1875
1499878491934106,-0.875,-1.6875,-0.8125
1499878491957096,-2.1875,-2.3125,-1.3125
1499878491979104,0.375,-1.6875,-1.1875
1499878491994098,-1.25,-1.8125,-1.4375
1499878492025099,-2.625,-3.3125,-1.6875
1499878492040111,-3.6875,-3.3125,-1.3125
1499878492054115,-2.5625,-2.6875,-1.1875
1499878492077109,-0.75,-2.125,-1
1499878492099115,0.875,-2.0625,-0.6875
1499878492120172,1.8125,-2,-0.1875
1499878492137114,-0.5625,-2.375,0.625
1499878492159118,-1.8125,-1.6875,0.75
1499878492180181,-0.0625,-1,0.875
1499878492197121,0.25,-0.625,1
1499878492219120,0.0625,-0.6875,1
1499878492240113,0.125,-0.4375,0.875
1499878492257112,1,0.0625,1.125
1499878492279114,0.125,-0.3125,1
1499878492300155,0.9375,-1.5,0.625
1499878492317117,1.6875,-1.4375,0.4375
1499878492339128,1.625,-0.9375,0.9375
1499878492360190,2.75,-0.4375,1
1499878492377131,2.5,-0.125,0.5625
1499878492400132,1.6875,0.125,0.25
1499878492420188,1.5,0,-0.3125
1499878492437122,2,0.5,-0.6875
1499878492459135,0.5,0,-0.125
1499878492480179,1.375,-0.1875,-0.4375
1499878492497126,0.5625,-0.0625,-0.125
1499878492519137,0.125,-0.125,0.0625
1499878492542141,-1.375,-0.375,0.25
1499878492564141,-2.6875,-0.0625,0
1499878492579136,-2.5,0.5625,0.5625
1499878492602132,-5,0.25,2.25
1499878492624154,-8.1875,-1.375,2.1875
1499878492645172,-6.125,-1.8125,1.5
1499878492662135,-1,-1.1875,0.5625
1499878492684158,1.25,-1.375,0.5
1499878492705183,-1.3125,-1.625,0.8125
1499878492722139,-3.375,-1.625,0.9375
1499878492744152,-2.875,-1.0625,0.4375
1499878492766151,-0.125,-0.4375,0.9375
1499878492782154,-0.1875,-0.0625,0.9375
1499878492804163,-0.75,0.125,1.125
1499878492825212,-1,0.125,0.9375
1499878492849147,-0.5,-0.5,0.5
1499878492864147,0.0625,-0.9375,0.1875
1499878492885148,1.1875,-0.3125,0.0625
1499878492902150,-0.4375,0,0.1875
1499878492924150,0,-0.0625,-0.0625
1499878492945163,0.625,0,-0.5625
1499878492962153,1.1875,0.0625,-0.8125
1499878492984154,0.8125,0.1875,-0.6875
1499878493005162,0,0.0625,-0.6875
1499878493022169,-0.125,0.875,-1
1499878493044178,0.5625,1.1875,-0.25
1499878493067160,0.0625,1.3125,-0.125
1499878493082171,-0.3125,1.125,0
1499878493104161,0.375,1.1875,0
1499878493127164,1.25,0.9375,0.1875
1499878493148169,1,0.625,0.125
1499878493164179,0.5625,0.375,0.625
1499878493187183,0.25,0.4375,0.9375
1499878493202169,1.375,0.625,1
1499878493224176,-0.0625,0.375,0.9375
1499878493247171,-0.6875,-0.125,1.25
1499878493261176,-0.6875,-0.75,1.3125
1499878493284184,0.3125,-0.5625,0.375
1499878493307173,2.5,0.25,0.3125
1499878493321175,1.8125,0.0625,0.3125
1499878493344197,-1.0625,-0.3125,0.25
1499878493367179,-1.4375,-0.0625,-0.125
1499878493381180,1.0625,0.125,-0.5
1499878493404179,0.9375,0.75,-0.4375
1499878493427182,-0.25,0.375,0.5
1499878493441216,-0.125,0.8125,0.6875
1499878493464192,-1.125,1.25,0.6875
1499878493487196,1.0625,1.125,0.6875
1499878493501198,0.3125,0.6875,0.5
1499878493524197,-1,0.25,0.4375
1499878493547189,0.5625,0.75,-0.0625
1499878493568196,2.1875,0.75,-0.0625
1499878493584190,-0.3125,0.5,-0.25
1499878493607189,-2.5625,-0.1875,-0.0625
1499878493628189,-1.0625,-0.375,0.0625
1499878493644190,0.75,0.1875,-0.125
1499878493667197,0.625,0.6875,-0.4375
1499878493688199,0.3125,0.625,0.1875
1499878493704218,-1.0625,0.375,0.375
1499878493727224,-0.875,0.5625,-0.625
1499878493748218,0.75,1,-0.9375
1499878493764199,1.3125,1,-0.375
1499878493787201,-1.1875,1.125,-0.0625
1499878493808201,-1.875,0.875,-0.0625
1499878493824222,0.625,1.375,-0.25
