timestamp,x,y,z,w
1499878477660272,-0.690369,-0.0352173,-0.0344849,0.721741
1499878477682281,-0.684998,-0.0390625,-0.0360107,0.726624
1499878477705331,-0.68335,-0.0404053,-0.0361328,0.728088
1499878477720328,-0.685303,-0.0397949,-0.0360107,0.726318
1499878477744270,-0.685791,-0.0391235,-0.0365601,0.72583
1499878477765337,-0.684814,-0.0395508,-0.0373535,0.726685
1499878477780314,-0.684204,-0.0408325,-0.0384521,0.727112
1499878477804291,-0.685547,-0.0415039,-0.0383911,0.72583
1499878477834279,-0.686462,-0.0421753,-0.0385132,0.724915
1499878477843312,-0.686096,-0.0424194,-0.0386963,0.72522
1499878477864302,-0.686157,-0.0422974,-0.0385742,0.725159
1499878477879322,-0.68689,-0.0419922,-0.038147,0.724548
1499878477900345,-0.687439,-0.0414429,-0.0374756,0.724121
1499878477924294,-0.687988,-0.0407715,-0.0365601,0.723694
1499878477970346,-0.687805,-0.0406494,-0.0357666,0.723877
1499878477971289,-0.6875,-0.0405884,-0.0352173,0.724182
1499878477984324,-0.687988,-0.0401611,-0.0343628,0.723755
1499878477998326,-0.68866,-0.0396729,-0.0337524,0.723206
1499878478021299,-0.68927,-0.0390015,-0.0335083,0.722656
1499878478044310,-0.689758,-0.0384521,-0.0334473,0.722229
1499878478059291,-0.690125,-0.0379028,-0.0333862,0.721924
1499878478082292,-0.690552,-0.0374146,-0.0327148,0.721558
1499878478104311,-0.691223,-0.0369263,-0.0318604,0.721008
1499878478125357,-0.691711,-0.036438,-0.0311279,0.720581
1499878478142296,-0.691956,-0.0360718,-0.0305786,0.720398
1499878478164342,-0.692261,-0.0358887,-0.0299683,0.720154
1499878478185367,-0.692627,-0.0355835,-0.02948,0.719788
1499878478202299,-0.693115,-0.0354004,-0.0289307,0.71936
1499878478224322,-0.693115,-0.0353394,-0.0285645,0.719421
1499878478246328,-0.693054,-0.0352173,-0.0281982,0.719482
1499878478262303,-0.693481,-0.0351563,-0.0276489,0.719116
1499878478284304,-0.694031,-0.0349731,-0.0275269,0.718567
1499878478306331,-0.694275,-0.0346069,-0.0274658,0.718323
1499878478322339,-0.694092,-0.0342407,-0.0272827,0.718567
1499878478344328,-0.694336,-0.0341187,-0.0269165,0.718323
1499878478365378,-0.69458,-0.0341187,-0.0266724,0.71814
1499878478382345,-0.694397,-0.0343018,-0.0266724,0.718262
1499878478404312,-0.694458,-0.0345459,-0.0267334,0.718201
1499878478425376,-0.694702,-0.0348511,-0.0267334,0.717957
1499878478442324,-0.695068,-0.0349731,-0.0269165,0.71759
1499878478464330,-0.695313,-0.0350342,-0.0270386,0.717346
1499878478486333,-0.695313,-0.0350342,-0.0270386,0.717346
1499878478502335,-0.695313,-0.0350342,-0.0270386,0.717346
1499878478524350,-0.695435,-0.0349121,-0.0270386,0.717224
1499878478547358,-0.695435,-0.0349121,-0.0270386,0.717224
1499878478562321,-0.695129,-0.0349731,-0.0270996,0.717529
1499878478584340,-0.694946,-0.0350342,-0.0272217,0.717712
1499878478607324,-0.694702,-0.0348511,-0.0274658,0.717957
1499878478621331,-0.694397,-0.0343628,-0.0275879,0.718262
1499878478644368,-0.694214,-0.0341187,-0.0275879,0.718445
1499878478667338,-0.694214,-0.0341187,-0.0275879,0.718445
1499878478682338,-0.69397,-0.0340576,-0.0275269,0.718689
1499878478704339,-0.693481,-0.0338135,-0.0275879,0.719116
1499878478727330,-0.693176,-0.0335693,-0.0275269,0.719482
1499878478741343,-0.692932,-0.0335693,-0.0275269,0.719666
1499878478764353,-0.69281,-0.0335693,-0.0274048,0.719788
1499878478787339,-0.692688,-0.0336304,-0.0272827,0.719971
1499878478801341,-0.692383,-0.0337524,-0.0272217,0.720215
1499878478832345,-0.6922,-0.0338135,-0.0270996,0.720398
1499878478847337,-0.692017,-0.0339355,-0.0270996,0.720581
1499878478861339,-0.692017,-0.0339355,-0.0270996,0.720581
1499878478884350,-0.691956,-0.0340576,-0.0270386,0.720642
1499878478907342,-0.692139,-0.0341187,-0.0270386,0.720459
