timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499894904630914,-28,1,12,-12,3,0,16,-15
1499894904630914,-27,4,0,59,8,1,-11,3
1499894904632915,36,-1,28,11,-1,3,11,65
1499894904632915,6,-1,-51,-22,-3,-7,-58,-56
1499894904653915,3,-8,12,-6,-15,-2,57,-12
1499894904653915,19,1,-6,-30,-2,2,-3,9
1499894904654915,-23,4,8,13,10,6,10,1
1499894904654915,-23,1,13,-69,6,4,4,2
1499894904667918,17,-5,2,66,3,-2,-7,12
1499894904667918,-20,4,-11,22,-1,0,-2,-10
1499894904674917,-14,0,3,-26,-10,-8,0,-64
1499894904674917,28,4,-2,19,8,9,-3,52
1499894904690917,-12,-1,5,-72,2,0,7,-36
1499894904690917,1,-6,-9,-19,-6,-3,5,39
1499894904692919,10,7,6,45,7,1,-14,-80
1499894904692919,-2,-9,-26,-65,-13,-4,0,-63
1499894904713919,-23,6,14,83,12,4,27,33
1499894904713919,1,-12,0,-13,-13,-13,-50,-61
1499894904715920,10,-6,-7,-60,2,-1,14,80
1499894904715920,40,10,24,22,3,5,12,-41
1499894904727922,-58,10,-11,59,7,4,-1,8
1499894904727922,-28,-16,-43,-104,-12,-7,2,58
1499894904734921,11,5,2,95,2,-3,-8,-47
1499894904734921,25,-14,-10,-77,-6,-3,3,34
1499894904750921,-16,9,18,6,3,1,-23,-8
1499894904750921,62,-1,-14,-79,2,-1,0,-60
1499894904752921,-92,-3,18,115,1,5,13,-25
1499894904752921,21,3,3,43,3,0,-14,21
1499894904773922,13,-15,-35,-49,-14,-7,-9,-22
1499894904773922,-10,1,25,59,6,-3,-13,-58
1499894904774923,9,2,-5,-49,-6,3,0,87
1499894904774923,9,16,39,-15,6,4,12,-17
1499894904788925,28,-14,-27,-58,-9,-7,-24,33
1499894904788925,2,8,20,18,1,-1,4,-8
1499894904796924,-40,-2,12,36,5,1,9,19
1499894904796924,-10,-13,-23,6,-7,-5,9,-37
1499894904810939,27,-6,-8,-81,-10,-1,-12,79
