timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499879288412233,7,-1,52,-104,10,-3,-40,-102
1499879288412233,-35,88,-3,32,9,19,37,73
1499879288413221,-61,-102,-13,-14,-17,-31,-95,-30
1499879288413221,-20,22,-3,65,-2,6,4,85
1499879288415274,29,-18,-26,31,1,-16,-20,-27
1499879288415274,7,30,12,92,-20,6,8,32
1499879288416221,32,-30,-44,-128,13,4,10,-27
1499879288416221,-62,-53,45,75,28,2,6,-8
1499879288422271,52,-26,61,44,-9,-6,-12,39
1499879288422271,-23,-80,-40,23,24,8,28,-63
1499879288429260,-5,-17,-33,-21,-13,1,-9,-37
1499879288429260,68,51,-25,4,-33,-6,-7,75
1499879288440262,-56,59,50,-94,16,-9,-34,-69
1499879288440262,76,-51,-40,6,-38,-4,5,5
1499879288461269,-77,-7,-34,85,34,-9,-13,-43
1499879288461269,-12,-8,20,-62,-9,3,8,-42
1499879288464231,-36,-59,-61,60,-10,-5,-23,24
1499879288464231,32,37,-2,-46,21,15,37,-8
1499879288483236,-48,9,34,-55,-10,-5,18,25
1499879288483236,40,-8,5,-12,10,0,-7,2
1499879288484244,-31,95,7,102,-5,13,13,19
1499879288484244,-97,-119,66,-33,-15,-20,-22,-60
1499879288496294,49,47,-61,101,-2,11,-13,-20
1499879288496294,47,48,74,-30,-11,-16,57,20
1499879288537247,-12,-67,47,-41,0,6,-3,-24
1499879288537247,-8,80,-77,-15,-17,-7,17,-13
1499879288542269,-64,-40,44,24,-39,-9,-12,44
1499879288542269,23,19,-41,48,21,-1,-12,-40
1499879288543248,12,77,-8,-74,-8,-12,-26,106
1499879288543248,-15,27,51,-2,-5,5,19,13
1499879288544248,10,121,-50,-76,-1,0,8,-22
1499879288544248,-51,3,2,-44,-13,-5,-15,-17
1499879288557275,-28,-80,-33,107,-39,-1,-5,3
1499879288557275,-27,5,8,-39,35,-8,-14,36
1499879288559230,41,86,13,-34,0,-5,-19,-67
1499879288559230,-62,-109,-63,25,-3,6,13,-42
1499879288571270,-28,30,108,8,-20,-6,-2,-15
1499879288571270,-10,-16,-71,75,-13,4,22,16
1499879288580237,20,-39,30,-35,-31,3,17,67
1499879288580237,-22,-21,31,-55,73,-4,-15,-14
1499879288586267,70,79,-5,5,25,7,8,20
1499879288586267,-59,-124,-43,-50,-47,-2,26,32
1499879288609305,47,-71,-23,58,33,4,-16,-33
1499879288609305,11,61,27,-22,-23,-1,-4,67
1499879288610252,2,-66,-22,-11,0,-6,20,31
1499879288610252,39,7,53,-37,-19,-9,-46,-88
1499879288624266,41,43,-11,104,34,8,17,47
1499879288624266,-43,-36,49,-75,-64,-15,1,-32
1499879288631283,-25,61,-18,80,76,24,14,4
1499879288631283,70,64,-2,30,-32,-6,-10,-12
1499879288647256,-17,-31,-19,-12,-7,-3,13,-46
1499879288647256,38,48,1,-11,-2,-5,-9,10
1499879288647256,-24,-63,-32,-10,-7,-2,15,-15
1499879288647256,-23,61,50,-16,-16,-5,3,8
1499879288669309,26,46,21,9,32,6,-5,25
1499879288669309,-45,-20,-62,36,-47,-7,25,27
1499879288670250,23,65,-56,-43,27,2,-39,-108
1499879288670250,15,-4,3,41,20,-4,-8,39
1499879288683272,37,27,39,-41,2,-2,1,-7
1499879288683272,24,34,73,37,-31,6,15,66
1499879288691282,-3,-25,-34,-75,8,3,7,42
1499879288691282,16,49,21,-25,8,7,-7,-9
1499879288707283,-103,-88,40,57,10,-12,3,-29
1499879288707283,32,22,-63,-10,26,9,5,-32
1499879288707283,5,19,10,105,-18,-3,15,28
1499879288707283,-21,8,28,-119,1,-1,-44,-78
1499879288729308,21,-47,-13,-19,-22,-7,14,41
1499879288729308,3,61,-2,37,-28,-4,22,87
1499879288730253,-46,-78,23,44,31,4,-37,-121
1499879288730253,-4,-60,-107,-83,5,-1,8,21
1499879288743309,-13,17,75,105,-29,-4,-29,-22
1499879288743309,-7,-9,26,-72,50,2,-1,19
1499879288751246,-4,30,-40,-19,-17,-11,-6,13
1499879288751246,-2,30,44,35,20,6,24,-33
1499879288767288,5,-14,-30,-59,-2,9,17,35
1499879288767288,32,31,-22,70,-16,3,-22,-64
1499879288767288,16,25,-4,-53,-30,-8,6,16
1499879288767288,41,-75,25,76,44,15,6,21
1499879288789306,-35,-21,-45,-61,-5,-3,-16,-37
1499879288789306,27,14,21,50,0,2,9,-12
1499879288790257,-11,-16,-2,-74,-2,-20,-24,-51
1499879288790257,1,-5,31,76,1,3,11,44
1499879288803286,24,-1,-72,-2,39,6,-2,30
1499879288803286,-15,19,5,-7,17,5,4,-100
1499879288811291,-12,-1,-20,-75,-24,0,5,121
1499879288811291,-10,38,-25,8,-43,-14,-39,-51
1499879288827258,-39,-25,49,1,-11,1,5,-68
1499879288827258,0,-56,-38,-15,39,-15,-45,17
1499879288827258,0,9,0,-2,-34,4,38,56
1499879288827258,6,26,-15,19,28,6,-4,-50
1499879288849299,6,83,12,38,-31,-9,4,49
1499879288849299,22,-8,-17,20,-4,2,-14,33
1499879288850283,-32,-61,-41,2,10,1,16,-109
1499879288850283,-1,29,92,-50,5,-9,0,49
1499879288872318,15,-16,-106,-68,-17,-4,7,17
1499879288872318,5,5,11,6,-12,-5,-20,-34
1499879288872318,47,113,61,53,40,3,-7,-10
1499879288872318,-48,-91,-23,40,-5,3,14,-11
1499879288887261,-9,25,-6,9,8,2,4,-18
1499879288887261,-2,-69,32,-23,-3,-2,6,50
1499879288887261,-5,0,5,-46,-54,-9,-15,-8
1499879288887261,10,30,-30,-37,9,3,8,-17
1499879288909317,-14,-22,21,-12,-40,-10,-13,9
1499879288909317,14,46,37,30,72,12,20,8
1499879288910287,19,49,48,82,-11,0,-11,1
1499879288910287,-13,-64,-86,-94,-7,0,6,-40
1499879288932272,-4,-13,2,24,32,-8,-27,84
1499879288932272,-16,24,-1,48,-46,-2,7,-19
1499879288932272,27,5,20,-50,6,-3,21,48
1499879288932272,3,36,-9,0,1,-4,-29,-45
1499879288947295,-7,20,39,63,15,1,0,-38
1499879288947295,12,-23,-6,-69,-33,7,30,29
1499879288947295,-21,-7,-54,-12,16,-1,-21,-86
1499879288947295,14,44,-4,-4,-39,4,7,100
1499879288969320,11,2,-57,5,-15,-6,-8,-8
1499879288969320,-7,-14,79,21,26,-10,-3,-4
1499879288970290,12,12,-34,18,14,9,8,-38
1499879288970290,-10,19,26,13,12,-3,15,5
1499879288992279,-7,-1,28,-15,-8,-1,-16,16
1499879288992279,-8,24,-48,0,-41,6,21,15
1499879288992279,-23,-54,6,14,-41,-17,-62,-59
1499879288992279,-9,-27,-14,51,41,-7,-1,-41
1499879289007290,-4,13,75,39,-12,0,-12,28
1499879289007290,26,12,-18,-6,11,10,16,23
1499879289007290,-25,-24,-13,-72,-44,-12,5,33
1499879289007290,8,10,-10,32,0,0,7,32
1499879289029288,-16,21,23,14,-6,2,-3,10
1499879289029288,3,17,-15,-44,-8,-3,-19,58
1499879289030271,-5,-14,-33,46,39,11,26,27
1499879289030271,-17,-19,-15,27,-27,-17,-13,-11
1499879289052264,3,40,-7,-23,16,8,-21,-87
1499879289052264,-5,-19,9,-14,-33,-8,-12,30
1499879289053261,26,-42,-38,-34,27,16,10,51
1499879289053261,-18,-49,46,58,-50,-15,-7,4
1499879289075328,-4,28,17,-41,60,24,35,2
1499879289075328,-4,-19,-35,-31,-21,-12,-10,-54
1499879289076278,43,41,43,39,3,1,25,79
1499879289076278,8,-3,-9,53,2,10,-9,-51
1499879289089303,-17,-52,-19,-48,-12,-8,4,-1
1499879289089303,25,44,4,-25,23,0,-11,-43
1499879289090263,-3,49,54,30,-12,5,29,48
1499879289090263,-8,-67,-9,9,17,-6,-21,52
1499879289112327,6,54,-13,37,-66,-5,7,14
1499879289112327,5,-41,-51,-42,81,15,7,-16
1499879289112327,-17,16,51,50,-9,-5,-3,-19
1499879289112327,-7,28,16,-6,-7,8,41,34
1499879289127284,45,-35,-53,-27,16,-1,-22,-47
1499879289127284,-48,-1,36,32,-38,-4,20,65
1499879289127284,0,0,-7,65,12,0,4,-48
1499879289127284,-14,-24,-11,-86,-2,-2,-17,-23
1499879289149276,22,25,-2,33,-3,1,9,-5
1499879289149276,0,-3,36,38,22,0,-4,-12
1499879289150267,-17,-60,16,-72,-9,2,-3,30
1499879289150267,-9,24,3,-9,32,-3,-17,-44
1499879289172337,1,63,1,16,-34,-12,3,22
1499879289172337,10,-33,-35,16,19,1,-11,-45
1499879289172337,-19,-9,3,-35,-5,-5,7,-21
1499879289172337,16,-6,-30,12,-16,-1,-17,1
1499879289187288,48,-30,23,-38,3,7,13,30
1499879289187288,-30,25,-1,12,49,-7,-22,-21
1499879289187288,3,-39,0,44,-11,-6,6,-49
1499879289187288,13,-53,-12,-61,-8,3,7,10
1499879289209332,-5,-18,28,14,31,-2,11,45
1499879289209332,6,89,-22,-1,-27,-2,-5,-47
1499879289210280,59,120,5,44,-22,3,5,57
1499879289210280,-11,-19,39,42,45,-4,-3,-70
1499879289232271,-20,-32,-23,-79,0,-2,-37,1
1499879289232271,-2,-47,-59,-25,-27,-9,2,1
1499879289232271,-38,-5,-2,-22,-41,-9,8,-49
1499879289232271,35,101,17,10,-26,9,6,43
1499879289247337,-20,-108,-55,3,64,4,20,-15
1499879289247337,-12,4,23,3,-30,-7,-15,-12
1499879289247337,8,-14,16,-29,10,-10,-16,2
1499879289247337,-2,-35,8,-5,-74,-9,3,22
1499879289269345,-14,-21,-39,-6,75,10,12,-30
1499879289269345,26,21,37,82,-15,3,-5,26
1499879289270281,-22,-40,19,-55,26,-2,-29,-26
1499879289270281,-14,18,1,-1,-26,-3,-3,-18
1499879289292299,-11,85,-57,-100,-24,-7,5,20
1499879289292299,-6,-33,-10,56,18,-4,-2,-11
1499879289292299,36,26,-21,-5,19,4,-13,-36
1499879289292299,-25,-31,16,28,31,2,-2,53
1499879289307337,9,84,5,11,-45,-7,-9,-27
