timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499877261641454,-12,24,26,15,11,5,111,25
1499877261641454,14,4,13,-25,4,2,-26,-47
1499877261642492,8,-19,22,-18,-14,-4,-57,64
1499877261642492,0,-12,-15,-14,-2,-3,56,4
1499877261643473,-15,-2,11,7,-11,-11,-50,-14
1499877261643473,-11,1,11,23,8,-3,13,2
1499877261644464,0,15,-11,19,0,-9,-13,-52
1499877261644464,-16,8,39,-26,5,4,2,-20
1499877261654494,12,-19,-12,22,-2,-4,42,33
1499877261654494,-8,-5,34,-30,-20,13,35,-13
1499877261657474,2,0,-50,-38,16,5,-74,18
1499877261657474,-26,0,-9,6,-8,-7,37,-25
1499877261672496,0,5,12,27,24,18,19,-7
1499877261672496,2,-4,25,42,-4,-14,-20,26
1499877261681488,-10,-12,-6,-7,11,-2,19,43
1499877261681488,11,-5,-23,3,-25,-5,-67,-3
1499877261689476,13,-3,-34,-7,27,-9,-46,9
1499877261689476,11,0,3,7,-20,-5,3,14
1499877261711496,14,1,-24,15,2,-6,76,27
1499877261711496,30,-11,-9,4,15,19,13,23
1499877261751498,-2,8,1,-24,-23,-29,-16,-29
1499877261751498,13,-3,-55,12,-25,16,16,50
1499877261752461,0,4,5,-38,-21,21,10,-22
1499877261752461,-27,6,14,9,58,2,-25,-56
1499877261763518,10,2,-1,-2,11,-2,71,13
1499877261763518,7,-4,5,67,14,-9,-75,59
1499877261764465,-9,-8,-11,-56,-12,-4,72,29
1499877261764465,1,-2,8,-31,-48,-10,-22,-22
1499877261765461,-11,3,-15,5,-17,3,6,-15
1499877261765461,-10,27,23,27,33,11,-9,-42
1499877261771509,-1,11,-18,24,2,-8,-88,-28
1499877261771509,-3,-5,15,20,24,13,8,-12
1499877261777476,-28,-41,15,-24,-14,-24,-30,68
1499877261777476,-1,0,-16,-24,-32,-7,-25,-58
1499877261792505,9,0,-17,21,18,12,10,87
1499877261792505,52,0,-11,-12,-9,-23,-51,83
1499877261800509,6,11,2,38,16,11,-32,29
1499877261800509,4,-12,23,-29,4,3,72,20
1499877261823590,-2,0,7,-9,-7,-22,-80,-34
1499877261823590,3,-4,-47,59,-14,-10,-67,30
1499877261824531,15,12,-14,-12,-6,28,6,22
1499877261824531,-7,9,1,30,15,-4,5,-7
1499877261838563,-7,-7,16,-36,7,-2,-38,-25
1499877261838563,-16,-22,38,39,15,10,69,-73
1499877261839554,6,22,-16,1,-18,-5,-45,-36
1499877261839554,-12,1,19,-34,-5,-16,-13,-16
1499877261860560,18,5,-18,31,-27,-6,7,28
1499877261860560,-23,4,11,0,5,24,83,-45
1499877261861519,-8,3,7,-2,39,9,-32,-46
1499877261861519,-9,-9,5,-22,-15,-20,-7,-44
1499877261883585,3,-10,5,-14,12,19,122,1
1499877261883585,-26,32,26,2,-36,-6,-6,10
1499877261884524,4,-13,20,14,16,9,-3,-9
1499877261884524,6,-4,9,-39,9,-3,-72,-16
1499877261898533,2,-4,-1,33,5,5,77,21
1499877261898533,2,-23,-2,-53,-11,-7,-6,31
1499877261899524,4,-21,-7,13,-22,-10,-63,35
1499877261899524,-5,-21,2,18,-13,22,108,-5
1499877261920565,-27,10,4,12,36,-1,-10,-40
1499877261920565,-6,-21,-6,12,-4,8,16,22
1499877261921554,8,-9,-4,-24,-5,-3,27,-7
1499877261921554,5,3,-15,34,12,-8,-56,34
1499877261943526,9,-25,-8,-29,-31,-4,-3,2
1499877261943526,10,14,-8,-19,-2,-2,-1,55
1499877261944527,-11,-5,37,-7,15,-20,-91,-23
1499877261944527,0,8,-13,3,-2,16,52,19
1499877261958589,-3,9,-1,31,-2,-8,-16,-38
1499877261958589,6,27,-4,-18,5,-1,-28,10
1499877261959527,7,7,-8,-10,-16,-4,-47,-41
1499877261959527,5,17,17,24,4,2,-20,85
1499877261980569,5,1,-30,-44,-25,-6,34,-41
1499877261980569,-19,-7,20,-11,13,3,-46,-70
1499877261981537,0,4,-29,-1,-16,-3,65,-54
1499877261981537,-14,6,39,-27,1,-12,-85,-13
1499877262003595,-7,-1,46,37,17,9,55,15
1499877262003595,-14,-6,16,3,-10,-18,-24,-18
1499877262004531,-5,-15,-11,-17,-16,16,71,29
1499877262004531,2,-9,-34,3,0,6,24,-7
1499877262018604,5,22,29,-8,11,-8,-54,-5
1499877262018604,5,-15,14,12,-7,-12,31,-45
1499877262019531,3,22,27,-11,9,10,46,0
1499877262019531,-5,-40,-8,-27,-7,-7,-1,-14
1499877262040532,3,-3,10,-7,-22,5,-34,17
1499877262040532,-4,-5,16,-4,9,1,47,12
1499877262041533,-3,-13,0,30,8,-13,-46,2
1499877262041533,-2,6,2,-42,-25,-13,-67,-17
1499877262063572,-3,-4,-3,-25,-26,8,64,-22
1499877262063572,49,5,-28,16,25,9,-37,99
1499877262064532,-29,-25,36,24,16,11,63,3
1499877262064532,-8,1,19,-14,0,2,87,-42
1499877262078577,-8,-21,21,-8,-4,-9,0,12
1499877262078577,13,-7,-35,4,-10,-6,-70,8
1499877262079535,-9,-1,8,-48,-3,-3,50,51
1499877262079535,4,3,25,0,15,-17,-72,-35
1499877262100557,0,0,7,21,-26,-12,-11,-4
1499877262100557,37,23,-36,-5,-25,30,39,36
1499877262101535,10,10,-42,12,60,5,-45,43
1499877262101535,-5,11,26,-5,-11,-4,49,-3
1499877262123586,2,15,31,13,16,-15,-53,25
1499877262123586,-17,-13,-11,-10,-10,-8,-20,-30
1499877262124537,-3,4,-11,14,-9,-5,-58,-19
1499877262124537,12,-2,-49,-16,-3,3,-14,19
1499877262138585,7,1,-7,23,20,3,-22,19
1499877262138585,-10,8,14,1,1,-1,12,-25
1499877262139546,-4,-15,-5,-2,-13,-7,24,-5
1499877262139546,-12,-5,11,34,8,-2,15,-12
1499877262160565,-4,17,-14,14,-4,-2,-97,3
1499877262160565,-12,-6,-2,-2,1,1,29,-13
1499877262161568,16,9,17,10,-15,6,-28,31
1499877262161568,-10,5,6,-17,-4,12,79,-7
