timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499878364423418,-8,-13,0,-84,-26,-13,-1,-4
1499878364423418,-4,-2,-5,-52,13,3,6,0
1499878364424398,-1,-3,-18,74,-5,-3,-7,-1
1499878364424398,0,-1,-10,-98,-12,-5,-9,-1
1499878364428446,5,-11,-73,-73,-25,-5,-19,6
1499878364428446,-9,17,75,102,21,8,-1,-7
1499878364432388,-12,-19,-31,13,-8,-5,41,-1
1499878364432388,-4,-17,-86,-55,-9,-7,-35,14
1499878364434386,6,7,70,127,8,0,0,27
1499878364434386,-2,-5,-46,-102,-5,1,3,-54
1499878364450384,2,5,33,-43,-2,0,-9,0
1499878364450384,-3,10,59,127,20,0,13,-9
1499878364457432,-5,-5,6,-128,-48,-16,-10,-12
1499878364457432,7,0,-3,-12,7,7,-8,23
1499878364465384,-1,5,35,101,3,-5,-9,-7
1499878364465384,7,6,0,-9,15,20,19,1
1499878364472404,-4,7,19,31,45,9,-1,-3
1499878364472404,-4,-9,-13,-52,-30,-18,-15,-3
1499878364494405,10,22,77,70,-11,10,19,5
1499878364494405,-5,3,-31,-128,-10,-19,-10,-14
1499878364495385,3,-16,-66,101,5,7,-5,38
1499878364495385,-4,-16,96,67,-10,-2,-33,-10
1499878364542389,16,24,61,17,-12,7,-21,-6
1499878364542389,-22,-16,-47,83,7,6,7,-12
1499878364543393,31,13,-25,113,-7,-7,-4,13
1499878364543393,6,3,-1,-48,-22,-13,-21,-2
1499878364543393,-12,-22,-20,-20,-51,-12,-10,-1
1499878364543393,11,-18,30,84,34,3,-1,11
1499878364547400,8,43,-5,54,1,14,8,-1
1499878364547400,-7,-41,-39,-33,-21,-2,-2,-13
1499878364553435,-19,35,36,92,35,13,5,13
1499878364553435,35,-6,-4,49,-13,-6,6,10
1499878364562393,-84,-18,26,-116,-25,-5,-17,-20
1499878364562393,16,-30,-75,89,3,10,-7,26
1499878364568433,52,28,56,106,6,-18,33,-13
1499878364568433,-51,-15,-62,-33,20,6,-4,-23
1499878364584449,59,-31,91,32,29,27,22,56
1499878364584449,-105,18,-11,-11,44,35,-2,-79
1499878364591430,-20,-95,-117,-104,-65,-20,-30,36
1499878364591430,122,84,0,80,34,22,30,70
1499878364606412,-81,-40,66,77,26,4,0,-61
1499878364606412,-5,7,-33,-89,-52,-38,-16,-8
1499878364615394,18,36,-24,90,7,0,-7,-9
1499878364615394,-39,-15,-9,-28,39,3,11,9
1499878364629459,-13,5,68,62,-14,-4,2,11
1499878364629459,18,19,13,10,34,3,3,31
1499878364653420,10,21,49,-110,37,21,6,-16
1499878364653420,-42,-31,-51,-42,-59,-22,-17,-13
1499878364654397,59,33,6,44,24,11,12,8
1499878364654397,17,15,67,97,51,-5,-3,11
1499878364655399,19,-3,-31,-55,-23,-5,5,6
1499878364655399,-20,24,119,-44,-18,4,-12,-27
1499878364675414,-16,-13,-30,57,1,-13,-6,-4
1499878364675414,31,-24,-38,-22,-37,-4,12,5
1499878364676419,-41,-50,-48,-3,-46,-22,-9,-11
1499878364676419,0,18,40,111,3,-14,-11,-8
1499878364689440,15,24,-42,-51,16,24,9,10
1499878364689440,-12,-22,55,85,-30,-16,3,-15
1499878364696442,13,22,69,127,52,32,23,41
1499878364696442,40,-18,-78,-120,-39,-13,-19,2
1499878364712467,15,15,-22,-128,-34,-18,-10,0
1499878364712467,6,50,90,1,33,6,2,-9
1499878364714406,-40,-64,-77,-41,-23,-13,-11,-20
1499878364714406,-10,-21,-13,62,-14,2,5,-9
1499878364735422,8,-27,-76,-59,4,5,-10,0
1499878364735422,3,21,23,-49,19,2,6,19
1499878364736402,-6,38,99,127,23,-6,-3,-5
1499878364736402,-6,-49,-51,14,-23,-11,-13,-6
1499878364750417,-5,-11,18,47,2,13,10,-10
1499878364750417,-16,-3,-43,-25,-23,2,4,-4
1499878364757455,20,22,65,96,24,4,2,14
1499878364757455,9,23,44,-104,-10,9,-3,1
1499878364772450,-2,17,92,127,0,-19,-11,-12
1499878364772450,12,-23,-16,43,1,1,13,63
1499878364774405,13,5,-68,-128,-21,6,-7,56
1499878364774405,-31,-2,48,76,43,8,6,-56
1499878364795452,0,-41,-128,-97,-73,-38,-26,-19
1499878364795452,12,15,78,57,-13,-3,-2,-1
1499878364796406,6,-40,-115,-128,-21,-16,-10,-16
1499878364796406,-30,-11,31,-30,-7,-2,-6,-2
1499878364809446,-48,-47,-104,21,9,6,4,-14
1499878364809446,-5,6,-6,110,43,13,2,2
1499878364816418,-8,10,52,34,-1,-3,4,-1
1499878364816418,-10,-43,-34,-48,-61,-16,-15,-24
1499878364832453,-10,6,-16,-34,-11,-12,-11,-78
1499878364832453,-1,9,-8,57,3,11,11,-17
1499878364834413,21,54,127,107,79,25,5,1
1499878364834413,-6,-19,-23,127,-42,-26,-8,2
1499878364855475,7,30,49,92,26,9,9,30
1499878364855475,-53,-17,-60,78,-7,-7,-9,-35
