timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499877187178005,-78,-5,4,3,1,7,99,-23
1499877187178005,2,3,-3,0,-1,1,10,-25
1499877187179016,14,-20,7,-5,-4,-3,14,67
1499877187179016,13,11,75,9,-2,0,-14,-6
1499877187179991,47,-10,3,5,6,-3,-43,-4
1499877187179991,-13,-3,9,4,4,-5,-74,-71
1499877187180994,-48,-3,-11,-15,-9,4,76,-86
1499877187180994,-38,44,-21,-14,-9,-4,37,-62
1499877187191001,29,22,18,28,6,-5,-46,16
1499877187191001,-37,-24,-5,-14,-7,-19,-90,-61
1499877187200006,-7,-20,-4,-8,-2,-2,48,11
1499877187200006,29,5,13,-6,3,14,82,25
1499877187208003,21,1,-22,1,-4,-7,-57,-8
1499877187208003,-20,49,22,19,0,-1,-6,-30
1499877187222073,-37,14,1,-8,-2,-12,34,-46
1499877187222073,-8,-33,-16,13,-2,6,-26,-17
1499877187230008,24,16,15,2,2,2,14,63
1499877187230008,5,-23,-28,-9,-1,6,62,-24
1499877187245008,64,8,-12,-6,-2,6,48,38
1499877187245008,-53,-18,12,5,12,-8,-19,44
1499877187253006,15,5,-7,-3,-1,-2,-46,8
1499877187253006,49,1,21,10,5,-19,-119,98
1499877187266055,-75,-21,2,0,-5,43,82,-54
1499877187266055,46,-33,-30,7,-12,32,10,107
1499877187307995,-13,-3,-2,-12,-14,-6,-41,-16
1499877187307995,-7,-6,10,1,6,14,104,-27
1499877187312018,15,11,3,18,3,-3,-56,-49
1499877187312018,12,9,0,11,-5,3,-81,-6
1499877187312993,-12,49,10,26,31,-3,-16,-47
1499877187312993,-26,-35,-29,-16,-12,6,20,-3
1499877187313997,37,-7,-21,-2,-6,-5,-24,52
1499877187313997,-90,-12,-30,16,-17,-13,36,-122
1499877187318022,6,-15,-14,-32,-8,-8,-30,18
1499877187318022,-17,-1,5,-15,8,19,44,-3
1499877187327010,-37,-5,-8,-19,11,-43,-97,34
1499877187327010,27,-21,23,-24,-9,64,100,110
1499877187334010,-14,-31,25,113,27,8,-48,49
1499877187334010,-11,4,-54,-68,-44,-25,-128,9
1499877187349007,-25,3,25,-72,-9,-8,-31,-17
1499877187349007,-15,24,-9,24,8,-27,18,-40
1499877187356040,-64,-4,9,-36,-7,7,127,-112
1499877187356040,51,7,24,64,-9,-24,-124,-2
1499877187379041,8,22,-16,-27,-16,22,120,-12
1499877187379041,53,4,13,9,29,4,-68,58
1499877187380001,-28,-12,-14,-7,20,9,56,-65
1499877187380001,7,0,-18,54,-24,-37,-111,62
1499877187396000,-6,9,4,9,16,43,96,13
1499877187396000,15,-1,24,-47,4,-23,-97,11
1499877187396000,44,-6,-2,4,-15,14,97,98
1499877187396000,-11,9,3,4,30,12,-17,-13
1499877187417012,-24,-40,2,25,-5,-6,-36,-19
1499877187417012,-46,27,18,10,1,-14,-57,-71
1499877187417012,1,-10,-20,-39,-15,-1,-19,73
1499877187417012,1,4,4,-4,-4,-13,-36,-53
1499877187439046,-23,-4,-27,46,9,18,82,-49
1499877187439046,-32,-37,35,-15,-3,10,-11,-85
1499877187440002,-14,-7,-45,-3,-21,-33,-128,-52
1499877187440002,-7,-1,9,-11,6,33,127,50
1499877187454052,21,-4,-9,42,8,-13,-52,19
1499877187454052,27,0,-13,-11,-14,-14,16,8
1499877187455013,20,-4,11,21,0,-1,-52,18
1499877187455013,20,-10,-1,-33,11,8,35,1
1499877187477015,-10,-3,4,14,-14,-8,-52,-15
1499877187477015,1,-2,-16,10,-6,-1,37,34
1499877187477015,10,4,13,-22,-8,-9,-75,-21
1499877187477015,-6,6,-6,13,17,8,96,8
1499877187499053,47,-11,-3,-73,-19,4,-59,50
1499877187499053,-28,-5,6,-5,2,3,59,-9
1499877187500007,4,21,20,20,-2,10,72,-38
1499877187500007,7,-16,-3,-48,3,-9,-52,-28
1499877187514074,-30,5,5,0,4,-2,32,-54
1499877187514074,38,5,-8,-33,-8,-6,-32,35
1499877187515018,-22,-13,-9,-11,-1,1,32,-70
1499877187515018,-11,24,-2,12,-13,-9,-21,-3
1499877187537019,3,3,4,4,9,-1,-2,40
1499877187537019,7,2,-8,29,5,-11,-29,24
1499877187537019,45,-5,9,12,2,4,-27,58
1499877187537019,-10,6,-7,11,-12,-5,10,-33
1499877187559052,-25,-1,-8,19,-9,-15,-34,-48
1499877187559052,3,-25,-63,5,1,0,0,4
1499877187560022,13,8,-6,-27,-9,-5,-8,44
1499877187560022,6,3,11,-23,-3,-4,-51,23
1499877187574058,1,3,37,7,5,-1,30,-4
1499877187574058,10,-7,5,30,-6,0,56,24
1499877187575011,8,-2,-19,-10,-4,10,41,-50
1499877187575011,4,0,8,-28,12,9,42,42
1499877187597022,15,-5,-9,3,-4,-9,-25,55
1499877187597022,-6,15,16,-23,1,-6,-65,-9
1499877187597022,-20,1,8,28,-4,-7,-41,-50
1499877187597022,11,-11,-15,17,-5,3,14,49
1499877187619058,-5,-4,-11,-44,-4,5,23,7
1499877187619058,-9,-7,-4,-17,5,3,6,12
1499877187620047,8,1,3,26,15,3,-42,44
1499877187620047,-12,-16,-10,-11,-1,-7,-1,-63
1499877187634060,32,5,-5,20,2,-12,-94,33
1499877187634060,17,-7,26,32,-2,13,43,-13
1499877187635015,0,4,-7,-31,-6,-12,-27,21
1499877187635015,-8,2,8,5,-7,-1,-10,2
1499877187657023,-2,-4,-1,4,-7,-6,-12,-36
1499877187657023,-10,21,6,-19,-1,-10,-25,-23
1499877187657023,40,5,-2,5,12,11,40,82
1499877187657023,-21,-16,-7,-7,-17,-13,-79,-18
1499877187679062,22,7,-9,-1,9,15,75,56
1499877187679062,7,6,-7,19,0,5,-21,-42
1499877187680017,9,11,14,-24,-2,7,88,-13
1499877187680017,6,-7,7,40,24,1,-36,-21
1499877187694017,-9,2,-7,-50,-23,0,5,8
1499877187694017,-5,1,1,-11,-11,-3,-17,12
1499877187695018,-3,1,-9,-18,2,-1,11,44
1499877187695018,9,18,32,40,12,-3,-56,-42
1499877187717026,-50,-12,-14,7,-2,3,67,-92
1499877187717026,6,-1,-5,-20,0,-7,-20,33
1499877187717026,-21,-7,1,8,-15,-5,21,-34
1499877187717026,6,0,43,17,13,3,4,10
1499877187739066,9,6,14,7,5,0,-30,32
1499877187739066,-15,-14,-14,0,-8,-7,67,3
1499877187740054,-17,-11,-7,-15,-6,2,14,55
1499877187740054,-17,2,-8,21,-12,-5,4,3
1499877187753058,13,6,-10,-50,9,1,-24,48
1499877187753058,-23,-10,26,-4,-4,-1,1,-36
1499877187762046,2,-5,-6,31,8,-5,-27,0
1499877187762046,2,0,-13,-16,0,7,40,-9
1499877187777032,-6,-6,-7,2,-10,-11,-69,13
1499877187777032,12,1,-10,9,1,5,-12,12
1499877187777032,6,5,23,5,10,1,-16,-1
1499877187777032,1,-2,-4,-11,-11,-2,-44,-27
1499877187799072,-2,4,15,34,4,0,9,-28
1499877187799072,-14,12,-13,9,10,13,40,-39
1499877187807034,-5,-2,0,-76,-20,-12,-15,-45
1499877187807034,-2,-16,-13,-5,20,4,6,-7
1499877187813035,2,0,3,17,-6,2,34,-16
1499877187813035,-3,-2,13,-20,-9,0,8,-10
1499877187822030,-4,9,13,15,7,-3,-23,17
1499877187822030,7,9,1,23,-14,0,21,35
1499877187837036,-22,-7,-3,-39,0,-7,-55,-56
1499877187837036,0,-5,-13,-4,12,7,79,16
1499877187837036,-3,-7,1,-5,-17,-7,-2,-15
1499877187837036,-5,1,-9,-11,-1,-3,-7,1
1499877187859075,0,1,18,46,3,5,27,-15
1499877187859075,9,3,-6,3,-2,-2,-42,-12
1499877187860063,-3,-6,-16,-25,-5,-2,-26,-7
1499877187860063,-3,4,-5,0,6,0,51,29
1499877187873041,2,-7,0,-5,-6,5,73,-106
1499877187873041,10,-2,7,-8,-2,-4,-26,10
1499877187882046,-7,-3,9,29,3,-1,1,-4
1499877187882046,-2,13,-16,-21,-1,5,6,2
1499877187897039,5,13,21,5,1,-3,-15,3
1499877187897039,-2,-15,-1,-16,-5,-2,-27,-4
1499877187897039,-7,-1,-5,12,-2,-1,-58,-44
1499877187897039,18,-5,-13,-10,-5,3,72,32
1499877187919070,-38,-6,5,-5,5,-4,-28,-50
1499877187919070,2,1,-4,54,-3,-1,-5,25
1499877187920030,4,7,-9,-8,-7,0,-21,-17
1499877187920030,-16,-6,12,7,19,4,3,-21
1499877187934055,12,-1,0,-5,-8,6,6,39
1499877187934055,-2,-1,5,-7,-1,-8,-8,11
1499877187942043,-10,-10,-11,30,-3,0,15,-3
1499877187942043,16,-5,6,-28,-7,-1,1,-13
1499877187957044,8,-4,-8,22,5,3,25,8
1499877187957044,-5,2,0,-4,4,-2,-14,-2
1499877187957044,9,0,-2,3,4,-1,-12,18
1499877187957044,0,-6,-10,-18,-13,-4,-3,-11
1499877187979067,8,15,-6,-5,-12,-15,-57,20
1499877187979067,-6,5,-3,-29,-3,0,-5,-1
1499877187980035,9,6,-1,13,11,6,28,77
1499877187980035,-11,6,22,3,0,1,-9,-5
1499877187993035,-4,-4,-10,-4,4,2,-9,18
1499877187993035,2,0,-1,9,-5,-10,-31,-37
1499877188002035,-1,-1,1,-6,-3,-1,0,5
1499877188002035,-14,-1,1,1,0,-2,-3,-16
1499877188017048,27,-4,2,-2,2,2,-5,27
1499877188017048,-21,-2,-13,7,0,-4,1,21
1499877188017048,-2,-9,0,-6,1,3,-1,-10
1499877188017048,1,-10,-10,-7,-7,-6,-22,10
1499877188039080,8,-6,3,25,2,-4,15,35
1499877188039080,1,4,5,3,6,6,15,0
1499877188040038,-4,-7,-8,-17,-4,-2,-10,-17
1499877188040038,9,3,-7,6,0,0,-10,-6
1499877188053052,-1,-6,-12,-8,-5,-4,-4,9
1499877188053052,8,-1,9,7,-3,1,-2,9
1499877188062056,-4,2,3,-2,0,-6,-3,-13
1499877188062056,-4,0,4,2,-1,-1,-3,-5
1499877188077049,-9,-5,11,5,2,0,12,-9
1499877188077049,5,0,-6,-6,-3,0,-21,-8
1499877188077049,9,2,-1,-10,-4,-2,7,33
1499877188077049,-9,3,1,6,2,-1,8,-51
1499877188099104,6,1,-3,-2,1,2,2,34
1499877188099104,2,0,-2,-3,0,1,6,14
1499877188100041,-2,3,3,-6,1,-3,-35,6
1499877188100041,0,-2,-5,1,-4,-12,-39,-2
1499877188113042,2,2,0,1,1,8,78,-24
1499877188113042,-1,0,4,-4,-2,-1,-16,-2
1499877188122063,-3,-1,3,5,4,5,6,-31
1499877188122063,0,-3,5,-1,-3,-3,2,29
1499877188137059,-19,-14,-7,-10,-4,-12,-56,-67
1499877188137059,2,3,-4,1,0,3,36,-6
1499877188137059,-20,0,0,-6,-4,-1,14,-55
1499877188137059,-1,-4,2,3,4,0,-6,-5
1499877188160063,3,-1,-3,-5,-2,1,-4,34
1499877188160063,4,0,-14,0,3,1,-10,-32
1499877188161044,3,-5,2,-4,-7,-7,3,-1
1499877188161044,6,-2,-4,0,-1,6,7,6
1499877188182091,2,2,3,0,-4,1,6,12
1499877188182091,6,1,-5,4,5,-5,-25,5
1499877188183081,-1,1,8,20,-3,2,34,15
1499877188183081,3,-3,9,-23,-8,-2,-19,10
1499877188197085,-4,-5,6,-6,-1,1,-6,1
1499877188197085,-1,-1,1,-22,-15,-8,-13,-10
1499877188197085,5,-7,-12,-5,0,5,14,-5
1499877188197085,9,3,-13,1,-2,1,8,-4
1499877188219091,1,3,8,10,4,-3,-6,-59
1499877188219091,-2,1,0,4,-2,6,17,38
1499877188220053,-2,4,-6,22,0,-4,-9,-26
1499877188220053,-4,2,-6,-24,-5,-9,-25,-35
1499877188242090,-7,1,7,-7,3,16,42,3
1499877188242090,-2,-5,-5,0,-2,-9,-24,-27
1499877188243061,3,0,10,11,6,6,12,8
1499877188243061,-2,-1,3,7,4,3,5,31
1499877188257061,2,2,-6,1,-1,-6,-25,7
1499877188257061,-6,-8,2,7,1,2,18,0
1499877188257061,-1,4,-1,-14,-3,0,-1,5
1499877188257061,-7,-6,-10,5,-1,-1,8,-11
1499877188278096,-1,-4,-5,-21,-5,0,-10,3
1499877188278096,2,2,1,12,0,-1,1,9
1499877188287063,0,0,-4,12,-5,-3,-5,-3
1499877188287063,-1,-5,-7,-37,-7,2,1,11
1499877188302127,-3,-1,-9,23,3,-8,9,31
1499877188302127,0,2,2,23,4,7,-1,-22
1499877188303063,4,4,11,-30,0,-3,-4,23
1499877188303063,-3,-2,16,45,-5,-3,-15,-15
1499877188325096,-4,-5,-11,-53,-1,6,30,4
1499877188325096,0,2,-4,8,0,1,-4,1
1499877188326064,-2,1,-8,15,7,0,-10,7
1499877188326064,-12,-1,-9,-5,0,5,22,-52
1499877188338094,2,1,4,7,-1,-3,-18,2
1499877188338094,-5,-4,-2,-4,1,-2,-19,-6
1499877188347059,-5,-7,-7,-22,-4,-7,-13,-24
1499877188347059,11,1,-6,2,2,2,9,-12
1499877188362123,-11,1,4,14,-2,-4,-4,11
