timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499877637677337,-13,-37,-82,-70,-41,-14,-14,-14
1499877637677337,11,26,73,-42,12,11,19,9
1499877637678322,-5,1,-5,28,14,-1,-7,-17
1499877637678322,10,10,25,-87,-4,0,-11,31
1499877637678322,0,14,18,-2,17,8,12,-19
1499877637678322,-16,-56,-72,-29,-56,-17,-35,6
1499877637681341,-1,-7,21,-24,-1,0,-3,30
1499877637681341,13,11,54,123,36,7,19,-12
1499877637689325,-20,-13,-9,72,-22,2,15,1
1499877637689325,0,-30,-14,66,-17,-24,1,-15
1499877637697334,5,7,10,41,5,3,-4,-3
1499877637697334,-4,-7,-52,-62,-12,-4,1,10
1499877637704318,14,-8,16,-66,-16,16,2,12
1499877637704318,-23,-5,13,-63,-4,-14,-21,-24
1499877637718350,8,4,16,11,3,1,15,13
1499877637718350,-6,-2,-6,-13,-15,-11,-5,-22
1499877637728347,21,51,55,125,69,30,20,13
1499877637728347,-16,-46,-94,-85,-67,-24,-27,-7
1499877637742313,-13,-27,1,78,-28,-21,9,-15
1499877637742313,7,21,20,76,26,16,0,28
1499877637749370,7,-13,-24,8,-5,-7,-9,-5
1499877637749370,16,24,-7,66,29,9,16,12
1499877637771350,1,13,-16,14,10,3,1,-11
1499877637771350,1,3,-54,12,-5,6,-6,-4
1499877637804313,-28,-18,-52,-66,-22,-17,-37,-104
1499877637804313,10,16,35,-111,35,17,37,36
1499877637805313,-11,-2,49,81,8,-6,-12,-19
1499877637805313,-2,-1,48,72,-5,9,15,20
1499877637806349,38,11,9,-20,18,9,-10,22
1499877637806349,-31,-22,-51,70,-31,-25,-19,-18
1499877637809314,3,12,16,13,13,8,-6,-20
1499877637809314,6,-15,4,-76,17,2,7,-12
1499877637816313,-1,16,81,84,32,8,8,23
1499877637816313,2,-18,-14,59,-14,-6,5,-27
1499877637823361,12,11,-6,19,10,7,23,43
1499877637823361,-19,-12,-46,4,-13,-12,-20,-16
